Abfluss,gs1,gs2,gs3,gs4,gs5
418.221,280,350,390,430,750
413.568,280,350,390,430,750
415.892,280,350,390,430,750
415.892,280,350,390,430,750
412.215,280,350,390,430,750
413.762,280,350,390,430,750
414.924,280,350,390,430,750
416.862,280,350,390,430,750
412.215,280,350,390,430,750
412.215,280,350,390,430,750
413.182,280,350,390,430,750
409.512,280,350,390,430,750
406.046,280,350,390,430,750
410.863,280,350,390,430,750
410.284,280,350,390,430,750
407.585,280,350,390,430,750
410.284,280,350,390,430,750
412.602,280,350,390,430,750
411.635,280,350,390,430,750
403.933,280,350,390,430,750
404.893,280,350,390,430,750
408.356,280,350,390,430,750
406.046,280,350,390,430,750
404.125,280,350,390,430,750
408.548,280,350,390,430,750
407.97,280,350,390,430,750
407.585,280,350,390,430,750
407.393,280,350,390,430,750
405.662,280,350,390,430,750
406.431,280,350,390,430,750
403.166,280,350,390,430,750
407.778,280,350,390,430,750
411.056,280,350,390,430,750
406.816,280,350,390,430,750
402.015,280,350,390,430,750
409.705,280,350,390,430,750
405.662,280,350,390,430,750
410.477,280,350,390,430,750
403.166,280,350,390,430,750
406.046,280,350,390,430,750
408.934,280,350,390,430,750
410.863,280,350,390,430,750
407.585,280,350,390,430,750
409.898,280,350,390,430,750
405.085,280,350,390,430,750
412.021,280,350,390,430,750
411.828,280,350,390,430,750
407.97,280,350,390,430,750
410.284,280,350,390,430,750
411.056,280,350,390,430,750
412.408,280,350,390,430,750
412.408,280,350,390,430,750
411.442,280,350,390,430,750
412.795,280,350,390,430,750
413.182,280,350,390,430,750
411.828,280,350,390,430,750
416.862,280,350,390,430,750
415.699,280,350,390,430,750
413.762,280,350,390,430,750
417.638,280,350,390,430,750
419.193,280,350,390,430,750
417.056,280,350,390,430,750
414.73,280,350,390,430,750
414.924,280,350,390,430,750
418.998,280,350,390,430,750
420.554,280,350,390,430,750
415.505,280,350,390,430,750
420.359,280,350,390,430,750
423.086,280,350,390,430,750
419.387,280,350,390,430,750
419.387,280,350,390,430,750
419.776,280,350,390,430,750
420.359,280,350,390,430,750
420.359,280,350,390,430,750
422.696,280,350,390,430,750
425.623,280,350,390,430,750
422.306,280,350,390,430,750
422.112,280,350,390,430,750
427.97,280,350,390,430,750
429.34,280,350,390,430,750
423.281,280,350,390,430,750
425.232,280,350,390,430,750
428.361,280,350,390,430,750
430.125,280,350,390,430,750
429.34,280,350,390,430,750
429.928,280,350,390,430,750
430.517,280,350,390,430,750
429.536,280,350,390,430,750
432.086,280,350,390,430,750
433.855,280,350,390,430,750
430.125,280,350,390,430,750
428.166,280,350,390,430,750
432.676,280,350,390,430,750
434.641,280,350,390,430,750
431.105,280,350,390,430,750
428.753,280,350,390,430,750
430.321,280,350,390,430,750
431.497,280,350,390,430,750
429.144,280,350,390,430,750
430.125,280,350,390,430,750
429.732,280,350,390,430,750
428.166,280,350,390,430,750
428.557,280,350,390,430,750
431.497,280,350,390,430,750
428.753,280,350,390,430,750
425.623,280,350,390,430,750
426.991,280,350,390,430,750
430.321,280,350,390,430,750
430.517,280,350,390,430,750
426.21,280,350,390,430,750
427.187,280,350,390,430,750
428.361,280,350,390,430,750
428.361,280,350,390,430,750
427.578,280,350,390,430,750
427.578,280,350,390,430,750
426.21,280,350,390,430,750
427.187,280,350,390,430,750
428.753,280,350,390,430,750
428.949,280,350,390,430,750
426.796,280,350,390,430,750
425.232,280,350,390,430,750
427.97,280,350,390,430,750
428.557,280,350,390,430,750
426.014,280,350,390,430,750
425.819,280,350,390,430,750
426.991,280,350,390,430,750
426.991,280,350,390,430,750
429.144,280,350,390,430,750
428.557,280,350,390,430,750
426.014,280,350,390,430,750
425.623,280,350,390,430,750
426.601,280,350,390,430,750
429.144,280,350,390,430,750
426.991,280,350,390,430,750
425.819,280,350,390,430,750
426.796,280,350,390,430,750
429.144,280,350,390,430,750
428.166,280,350,390,430,750
428.557,280,350,390,430,750
426.405,280,350,390,430,750
426.991,280,350,390,430,750
427.774,280,350,390,430,750
428.166,280,350,390,430,750
427.187,280,350,390,430,750
426.601,280,350,390,430,750
427.774,280,350,390,430,750
429.536,280,350,390,430,750
427.578,280,350,390,430,750
426.014,280,350,390,430,750
427.382,280,350,390,430,750
427.97,280,350,390,430,750
428.557,280,350,390,430,750
427.774,280,350,390,430,750
427.578,280,350,390,430,750
428.166,280,350,390,430,750
427.774,280,350,390,430,750
428.166,280,350,390,430,750
428.557,280,350,390,430,750
426.991,280,350,390,430,750
426.796,280,350,390,430,750
428.949,280,350,390,430,750
429.34,280,350,390,430,750
428.361,280,350,390,430,750
427.774,280,350,390,430,750
428.949,280,350,390,430,750
429.732,280,350,390,430,750
428.753,280,350,390,430,750
428.166,280,350,390,430,750
428.361,280,350,390,430,750
428.557,280,350,390,430,750
430.125,280,350,390,430,750
430.909,280,350,390,430,750
429.144,280,350,390,430,750
428.361,280,350,390,430,750
429.732,280,350,390,430,750
430.125,280,350,390,430,750
429.144,280,350,390,430,750
428.557,280,350,390,430,750
429.928,280,350,390,430,750
431.301,280,350,390,430,750
430.909,280,350,390,430,750
430.321,280,350,390,430,750
430.125,280,350,390,430,750
430.125,280,350,390,430,750
429.732,280,350,390,430,750
430.321,280,350,390,430,750
430.517,280,350,390,430,750
430.125,280,350,390,430,750
431.105,280,350,390,430,750
431.89,280,350,390,430,750
431.105,280,350,390,430,750
429.536,280,350,390,430,750
429.536,280,350,390,430,750
430.713,280,350,390,430,750
430.125,280,350,390,430,750
430.713,280,350,390,430,750
431.694,280,350,390,430,750
431.89,280,350,390,430,750
430.713,280,350,390,430,750
430.321,280,350,390,430,750
430.909,280,350,390,430,750
429.928,280,350,390,430,750
429.536,280,350,390,430,750
430.909,280,350,390,430,750
431.105,280,350,390,430,750
430.125,280,350,390,430,750
429.732,280,350,390,430,750
430.125,280,350,390,430,750
430.713,280,350,390,430,750
430.125,280,350,390,430,750
429.536,280,350,390,430,750
430.713,280,350,390,430,750
431.301,280,350,390,430,750
431.89,280,350,390,430,750
432.086,280,350,390,430,750
432.086,280,350,390,430,750
431.497,280,350,390,430,750
431.301,280,350,390,430,750
431.105,280,350,390,430,750
431.105,280,350,390,430,750
430.517,280,350,390,430,750
430.909,280,350,390,430,750
431.497,280,350,390,430,750
432.086,280,350,390,430,750
431.89,280,350,390,430,750
431.497,280,350,390,430,750
430.909,280,350,390,430,750
431.497,280,350,390,430,750
431.301,280,350,390,430,750
431.301,280,350,390,430,750
431.89,280,350,390,430,750
432.283,280,350,390,430,750
433.068,280,350,390,430,750
432.086,280,350,390,430,750
431.497,280,350,390,430,750
431.497,280,350,390,430,750
432.283,280,350,390,430,750
432.479,280,350,390,430,750
431.89,280,350,390,430,750
431.694,280,350,390,430,750
432.872,280,350,390,430,750
432.479,280,350,390,430,750
432.283,280,350,390,430,750
431.694,280,350,390,430,750
431.105,280,350,390,430,750
430.909,280,350,390,430,750
431.89,280,350,390,430,750
432.086,280,350,390,430,750
432.479,280,350,390,430,750
432.283,280,350,390,430,750
432.086,280,350,390,430,750
432.872,280,350,390,430,750
432.283,280,350,390,430,750
430.517,280,350,390,430,750
431.694,280,350,390,430,750
432.479,280,350,390,430,750
432.872,280,350,390,430,750
432.676,280,350,390,430,750
432.676,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
432.086,280,350,390,430,750
431.694,280,350,390,430,750
432.283,280,350,390,430,750
433.068,280,350,390,430,750
433.461,280,350,390,430,750
432.676,280,350,390,430,750
432.283,280,350,390,430,750
432.086,280,350,390,430,750
431.89,280,350,390,430,750
432.086,280,350,390,430,750
431.89,280,350,390,430,750
432.479,280,350,390,430,750
432.872,280,350,390,430,750
432.676,280,350,390,430,750
432.872,280,350,390,430,750
432.283,280,350,390,430,750
431.694,280,350,390,430,750
431.694,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
432.086,280,350,390,430,750
432.086,280,350,390,430,750
432.872,280,350,390,430,750
433.265,280,350,390,430,750
432.479,280,350,390,430,750
432.479,280,350,390,430,750
432.479,280,350,390,430,750
432.283,280,350,390,430,750
433.068,280,350,390,430,750
433.461,280,350,390,430,750
433.461,280,350,390,430,750
432.676,280,350,390,430,750
433.461,280,350,390,430,750
434.051,280,350,390,430,750
433.068,280,350,390,430,750
432.479,280,350,390,430,750
433.461,280,350,390,430,750
433.068,280,350,390,430,750
432.872,280,350,390,430,750
432.872,280,350,390,430,750
432.283,280,350,390,430,750
432.676,280,350,390,430,750
432.676,280,350,390,430,750
432.676,280,350,390,430,750
432.283,280,350,390,430,750
431.694,280,350,390,430,750
432.283,280,350,390,430,750
432.872,280,350,390,430,750
432.872,280,350,390,430,750
432.676,280,350,390,430,750
433.068,280,350,390,430,750
432.283,280,350,390,430,750
433.265,280,350,390,430,750
432.479,280,350,390,430,750
433.068,280,350,390,430,750
433.265,280,350,390,430,750
433.265,280,350,390,430,750
432.676,280,350,390,430,750
433.265,280,350,390,430,750
432.872,280,350,390,430,750
432.676,280,350,390,430,750
432.479,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
432.872,280,350,390,430,750
432.479,280,350,390,430,750
433.068,280,350,390,430,750
433.068,280,350,390,430,750
432.479,280,350,390,430,750
432.086,280,350,390,430,750
432.086,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
432.479,280,350,390,430,750
432.872,280,350,390,430,750
432.676,280,350,390,430,750
431.89,280,350,390,430,750
432.086,280,350,390,430,750
432.283,280,350,390,430,750
431.89,280,350,390,430,750
431.89,280,350,390,430,750
432.283,280,350,390,430,750
432.479,280,350,390,430,750
432.479,280,350,390,430,750
432.479,280,350,390,430,750
433.068,280,350,390,430,750
432.872,280,350,390,430,750
432.283,280,350,390,430,750
432.086,280,350,390,430,750
432.872,280,350,390,430,750
433.068,280,350,390,430,750
433.265,280,350,390,430,750
433.461,280,350,390,430,750
433.068,280,350,390,430,750
432.872,280,350,390,430,750
432.872,280,350,390,430,750
432.872,280,350,390,430,750
432.283,280,350,390,430,750
432.283,280,350,390,430,750
433.068,280,350,390,430,750
433.855,280,350,390,430,750
433.265,280,350,390,430,750
432.872,280,350,390,430,750
433.068,280,350,390,430,750
433.265,280,350,390,430,750
432.479,280,350,390,430,750
432.872,280,350,390,430,750
433.265,280,350,390,430,750
433.461,280,350,390,430,750
433.658,280,350,390,430,750
434.051,280,350,390,430,750
434.051,280,350,390,430,750
433.461,280,350,390,430,750
433.461,280,350,390,430,750
433.068,280,350,390,430,750
433.658,280,350,390,430,750
434.051,280,350,390,430,750
434.445,280,350,390,430,750
434.445,280,350,390,430,750
433.855,280,350,390,430,750
434.248,280,350,390,430,750
434.051,280,350,390,430,750
433.658,280,350,390,430,750
432.872,280,350,390,430,750
433.855,280,350,390,430,750
433.855,280,350,390,430,750
434.445,280,350,390,430,750
434.248,280,350,390,430,750
435.035,280,350,390,430,750
434.051,280,350,390,430,750
434.051,280,350,390,430,750
434.051,280,350,390,430,750
434.445,280,350,390,430,750
434.248,280,350,390,430,750
434.838,280,350,390,430,750
435.231,280,350,390,430,750
435.428,280,350,390,430,750
435.035,280,350,390,430,750
435.035,280,350,390,430,750
434.641,280,350,390,430,750
435.035,280,350,390,430,750
435.428,280,350,390,430,750
435.428,280,350,390,430,750
435.428,280,350,390,430,750
435.625,280,350,390,430,750
436.216,280,350,390,430,750
435.822,280,350,390,430,750
435.428,280,350,390,430,750
434.838,280,350,390,430,750
435.822,280,350,390,430,750
435.035,280,350,390,430,750
435.822,280,350,390,430,750
437.201,280,350,390,430,750
437.398,280,350,390,430,750
436.216,280,350,390,430,750
437.792,280,350,390,430,750
438.384,280,350,390,430,750
437.201,280,350,390,430,750
436.807,280,350,390,430,750
437.201,280,350,390,430,750
438.779,280,350,390,430,750
438.581,280,350,390,430,750
437.99,280,350,390,430,750
438.779,280,350,390,430,750
439.173,280,350,390,430,750
438.976,280,350,390,430,750
439.173,280,350,390,430,750
438.976,280,350,390,430,750
439.568,280,350,390,430,750
439.568,280,350,390,430,750
439.963,280,350,390,430,750
440.951,280,350,390,430,750
441.742,280,350,390,430,750
441.544,280,350,390,430,750
441.544,280,350,390,430,750
442.533,280,350,390,430,750
441.742,280,350,390,430,750
441.939,280,350,390,430,750
441.939,280,350,390,430,750
442.929,280,350,390,430,750
443.522,280,350,390,430,750
444.315,280,350,390,430,750
443.522,280,350,390,430,750
444.513,280,350,390,430,750
444.117,280,350,390,430,750
443.721,280,350,390,430,750
444.315,280,350,390,430,750
444.909,280,350,390,430,750
445.306,280,350,390,430,750
445.504,280,350,390,430,750
446.496,280,350,390,430,750
446.496,280,350,390,430,750
445.504,280,350,390,430,750
445.702,280,350,390,430,750
446.893,280,350,390,430,750
447.29,280,350,390,430,750
447.687,280,350,390,430,750
447.886,280,350,390,430,750
448.482,280,350,390,430,750
449.873,280,350,390,430,750
449.674,280,350,390,430,750
449.674,280,350,390,430,750
451.266,280,350,390,430,750
452.461,280,350,390,430,750
452.86,280,350,390,430,750
453.258,280,350,390,430,750
453.857,280,350,390,430,750
453.657,280,350,390,430,750
454.256,280,350,390,430,750
453.657,280,350,390,430,750
455.054,280,350,390,430,750
453.857,280,350,390,430,750
454.854,280,350,390,430,750
455.054,280,350,390,430,750
456.053,280,350,390,430,750
455.653,280,350,390,430,750
456.452,280,350,390,430,750
456.852,280,350,390,430,750
457.451,280,350,390,430,750
457.251,280,350,390,430,750
456.252,280,350,390,430,750
457.051,280,350,390,430,750
457.051,280,350,390,430,750
457.651,280,350,390,430,750
457.451,280,350,390,430,750
457.451,280,350,390,430,750
458.051,280,350,390,430,750
457.651,280,350,390,430,750
457.051,280,350,390,430,750
457.851,280,350,390,430,750
457.051,280,350,390,430,750
456.852,280,350,390,430,750
457.051,280,350,390,430,750
457.251,280,350,390,430,750
456.652,280,350,390,430,750
456.652,280,350,390,430,750
456.452,280,350,390,430,750
457.251,280,350,390,430,750
455.253,280,350,390,430,750
455.453,280,350,390,430,750
455.653,280,350,390,430,750
455.653,280,350,390,430,750
454.854,280,350,390,430,750
455.054,280,350,390,430,750
455.253,280,350,390,430,750
455.653,280,350,390,430,750
454.455,280,350,390,430,750
454.256,280,350,390,430,750
455.054,280,350,390,430,750
454.256,280,350,390,430,750
453.258,280,350,390,430,750
454.455,280,350,390,430,750
454.854,280,350,390,430,750
454.056,280,350,390,430,750
454.056,280,350,390,430,750
453.657,280,350,390,430,750
454.455,280,350,390,430,750
452.86,280,350,390,430,750
453.657,280,350,390,430,750
453.258,280,350,390,430,750
453.059,280,350,390,430,750
452.66,280,350,390,430,750
453.258,280,350,390,430,750
452.262,280,350,390,430,750
452.063,280,350,390,430,750
452.86,280,350,390,430,750
451.864,280,350,390,430,750
452.063,280,350,390,430,750
452.063,280,350,390,430,750
452.262,280,350,390,430,750
451.864,280,350,390,430,750
451.864,280,350,390,430,750
