date,Abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-16 03:45:00,212.191,280,450,570,690,1500
2021-07-16 03:50:00,210.721,280,450,570,690,1500
2021-07-16 03:55:00,209.389,280,450,570,690,1500
2021-07-16 04:00:00,206.338,280,450,570,690,1500
2021-07-16 04:05:00,206.338,280,450,570,690,1500
2021-07-16 04:10:00,206.603,280,450,570,690,1500
2021-07-16 04:15:00,206.074,280,450,570,690,1500
2021-07-16 04:20:00,205.942,280,450,570,690,1500
2021-07-16 04:25:00,205.678,280,450,570,690,1500
2021-07-16 04:30:00,205.282,280,450,570,690,1500
2021-07-16 04:35:00,205.15,280,450,570,690,1500
2021-07-16 04:40:00,207.0,280,450,570,690,1500
2021-07-16 04:45:00,206.471,280,450,570,690,1500
2021-07-16 04:50:00,209.123,280,450,570,690,1500
2021-07-16 04:55:00,209.123,280,450,570,690,1500
2021-07-16 05:00:00,210.188,280,450,570,690,1500
2021-07-16 05:05:00,210.054,280,450,570,690,1500
2021-07-16 05:10:00,210.321,280,450,570,690,1500
2021-07-16 05:15:00,209.655,280,450,570,690,1500
2021-07-16 05:20:00,210.454,280,450,570,690,1500
2021-07-16 05:25:00,210.188,280,450,570,690,1500
2021-07-16 05:30:00,210.588,280,450,570,690,1500
2021-07-16 05:35:00,209.788,280,450,570,690,1500
2021-07-16 05:40:00,211.923,280,450,570,690,1500
2021-07-16 05:45:00,212.057,280,450,570,690,1500
2021-07-16 05:50:00,211.79,280,450,570,690,1500
2021-07-16 05:55:00,212.86,280,450,570,690,1500
2021-07-16 06:00:00,213.665,280,450,570,690,1500
2021-07-16 06:05:00,213.799,280,450,570,690,1500
2021-07-16 06:10:00,214.874,280,450,570,690,1500
2021-07-16 06:15:00,213.799,280,450,570,690,1500
2021-07-16 06:20:00,213.799,280,450,570,690,1500
2021-07-16 06:25:00,214.74,280,450,570,690,1500
2021-07-16 06:30:00,215.682,280,450,570,690,1500
2021-07-16 06:35:00,216.491,280,450,570,690,1500
2021-07-16 06:40:00,217.302,280,450,570,690,1500
2021-07-16 06:45:00,216.761,280,450,570,690,1500
2021-07-16 06:50:00,216.087,280,450,570,690,1500
2021-07-16 06:55:00,216.087,280,450,570,690,1500
2021-07-16 07:00:00,216.087,280,450,570,690,1500
2021-07-16 07:05:00,218.52,280,450,570,690,1500
2021-07-16 07:10:00,218.114,280,450,570,690,1500
2021-07-16 07:15:00,218.385,280,450,570,690,1500
2021-07-16 07:20:00,217.167,280,450,570,690,1500
2021-07-16 07:25:00,217.437,280,450,570,690,1500
2021-07-16 07:30:00,218.385,280,450,570,690,1500
2021-07-16 07:35:00,215.547,280,450,570,690,1500
2021-07-16 07:40:00,216.221,280,450,570,690,1500
2021-07-16 07:45:00,214.605,280,450,570,690,1500
2021-07-16 07:50:00,214.202,280,450,570,690,1500
2021-07-16 07:55:00,214.202,280,450,570,690,1500
2021-07-16 08:00:00,213.799,280,450,570,690,1500
2021-07-16 08:05:00,213.128,280,450,570,690,1500
2021-07-16 08:10:00,212.191,280,450,570,690,1500
2021-07-16 08:15:00,212.191,280,450,570,690,1500
2021-07-16 08:20:00,209.655,280,450,570,690,1500
2021-07-16 08:25:00,209.123,280,450,570,690,1500
2021-07-16 08:30:00,207.795,280,450,570,690,1500
2021-07-16 08:35:00,210.321,280,450,570,690,1500
2021-07-16 08:40:00,210.054,280,450,570,690,1500
2021-07-16 08:45:00,209.921,280,450,570,690,1500
2021-07-16 08:50:00,210.054,280,450,570,690,1500
2021-07-16 08:55:00,207.928,280,450,570,690,1500
2021-07-16 09:00:00,207.662,280,450,570,690,1500
2021-07-16 09:05:00,207.795,280,450,570,690,1500
2021-07-16 09:10:00,207.53,280,450,570,690,1500
2021-07-16 09:15:00,204.228,280,450,570,690,1500
2021-07-16 09:20:00,203.965,280,450,570,690,1500
2021-07-16 09:25:00,203.176,280,450,570,690,1500
2021-07-16 09:30:00,202.258,280,450,570,690,1500
2021-07-16 09:35:00,204.623,280,450,570,690,1500
2021-07-16 09:40:00,205.678,280,450,570,690,1500
2021-07-16 09:45:00,207.0,280,450,570,690,1500
2021-07-16 09:50:00,207.397,280,450,570,690,1500
2021-07-16 09:55:00,207.132,280,450,570,690,1500
2021-07-16 10:00:00,204.228,280,450,570,690,1500
2021-07-16 10:05:00,204.096,280,450,570,690,1500
2021-07-16 10:10:00,202.52,280,450,570,690,1500
2021-07-16 10:15:00,200.426,280,450,570,690,1500
2021-07-16 10:20:00,200.687,280,450,570,690,1500
2021-07-16 10:25:00,196.915,280,450,570,690,1500
2021-07-16 10:30:00,197.434,280,450,570,690,1500
2021-07-16 10:35:00,196.656,280,450,570,690,1500
2021-07-16 10:40:00,197.045,280,450,570,690,1500
2021-07-16 10:45:00,198.082,280,450,570,690,1500
2021-07-16 10:50:00,197.304,280,450,570,690,1500
2021-07-16 10:55:00,195.621,280,450,570,690,1500
2021-07-16 11:00:00,194.074,280,450,570,690,1500
2021-07-16 11:05:00,190.612,280,450,570,690,1500
2021-07-16 11:10:00,192.147,280,450,570,690,1500
2021-07-16 11:15:00,192.917,280,450,570,690,1500
2021-07-16 11:20:00,191.123,280,450,570,690,1500
2021-07-16 11:25:00,191.763,280,450,570,690,1500
2021-07-16 11:30:00,189.718,280,450,570,690,1500
2021-07-16 11:35:00,190.356,280,450,570,690,1500
2021-07-16 11:40:00,190.101,280,450,570,690,1500
2021-07-16 11:45:00,189.718,280,450,570,690,1500
2021-07-16 11:50:00,189.081,280,450,570,690,1500
2021-07-16 11:55:00,186.67,280,450,570,690,1500
2021-07-16 12:00:00,186.29,280,450,570,690,1500
2021-07-16 12:05:00,186.67,280,450,570,690,1500
2021-07-16 12:10:00,186.416,280,450,570,690,1500
2021-07-16 12:15:00,187.05,280,450,570,690,1500
2021-07-16 12:20:00,185.911,280,450,570,690,1500
2021-07-16 12:25:00,185.659,280,450,570,690,1500
2021-07-16 12:30:00,184.65,280,450,570,690,1500
2021-07-16 12:35:00,184.775,280,450,570,690,1500
2021-07-16 12:40:00,183.643,280,450,570,690,1500
2021-07-16 12:45:00,185.28,280,450,570,690,1500
2021-07-16 12:50:00,183.266,280,450,570,690,1500
2021-07-16 12:55:00,186.67,280,450,570,690,1500
2021-07-16 13:00:00,186.796,280,450,570,690,1500
2021-07-16 13:05:00,187.303,280,450,570,690,1500
2021-07-16 13:10:00,185.785,280,450,570,690,1500
2021-07-16 13:15:00,184.398,280,450,570,690,1500
2021-07-16 13:20:00,182.513,280,450,570,690,1500
2021-07-16 13:25:00,177.406,280,450,570,690,1500
2021-07-16 13:30:00,173.709,280,450,570,690,1500
2021-07-16 13:35:00,173.587,280,450,570,690,1500
2021-07-16 13:40:00,172.484,280,450,570,690,1500
2021-07-16 13:45:00,172.607,280,450,570,690,1500
2021-07-16 13:50:00,172.24,280,450,570,690,1500
2021-07-16 13:55:00,171.751,280,450,570,690,1500
2021-07-16 14:00:00,170.533,280,450,570,690,1500
2021-07-16 14:05:00,170.655,280,450,570,690,1500
2021-07-16 14:10:00,169.318,280,450,570,690,1500
2021-07-16 14:15:00,168.107,280,450,570,690,1500
2021-07-16 14:20:00,169.682,280,450,570,690,1500
2021-07-16 14:25:00,171.507,280,450,570,690,1500
2021-07-16 14:30:00,173.709,280,450,570,690,1500
2021-07-16 14:35:00,174.815,280,450,570,690,1500
2021-07-16 14:40:00,177.282,280,450,570,690,1500
2021-07-16 14:45:00,176.788,280,450,570,690,1500
2021-07-16 14:50:00,178.15,280,450,570,690,1500
2021-07-16 14:55:00,177.777,280,450,570,690,1500
2021-07-16 15:00:00,176.416,280,450,570,690,1500
2021-07-16 15:05:00,177.406,280,450,570,690,1500
2021-07-16 15:10:00,175.677,280,450,570,690,1500
2021-07-16 15:15:00,174.938,280,450,570,690,1500
2021-07-16 15:20:00,173.954,280,450,570,690,1500
2021-07-16 15:25:00,171.751,280,450,570,690,1500
2021-07-16 15:30:00,168.107,280,450,570,690,1500
2021-07-16 15:35:00,166.9,280,450,570,690,1500
2021-07-16 15:40:00,168.47,280,450,570,690,1500
2021-07-16 15:45:00,167.503,280,450,570,690,1500
2021-07-16 15:50:00,168.712,280,450,570,690,1500
2021-07-16 15:55:00,168.712,280,450,570,690,1500
