date,Abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-17 19:15:00,59.798,70,110,140,170,300
2021-07-17 19:20:00,64.355,70,110,140,170,300
2021-07-17 19:25:00,60.781,70,110,140,170,300
2021-07-17 19:30:00,62.165,70,110,140,170,300
2021-07-17 19:35:00,58.624,70,110,140,170,300
2021-07-17 19:40:00,67.272,70,110,140,170,300
2021-07-17 19:45:00,63.755,70,110,140,170,300
2021-07-17 19:50:00,66.363,70,110,140,170,300
2021-07-17 19:55:00,66.464,70,110,140,170,300
2021-07-17 20:00:00,68.286,70,110,140,170,300
2021-07-17 20:05:00,62.264,70,110,140,170,300
2021-07-17 20:10:00,65.357,70,110,140,170,300
2021-07-17 20:15:00,68.387,70,110,140,170,300
2021-07-17 20:20:00,63.655,70,110,140,170,300
2021-07-17 20:25:00,66.766,70,110,140,170,300
2021-07-17 20:30:00,61.768,70,110,140,170,300
2021-07-17 20:35:00,63.855,70,110,140,170,300
2021-07-17 20:40:00,66.665,70,110,140,170,300
2021-07-17 20:45:00,65.557,70,110,140,170,300
2021-07-17 20:50:00,64.855,70,110,140,170,300
2021-07-17 20:55:00,61.373,70,110,140,170,300
2021-07-17 21:00:00,64.554,70,110,140,170,300
2021-07-17 21:05:00,57.068,70,110,140,170,300
2021-07-17 21:10:00,59.211,70,110,140,170,300
2021-07-17 21:15:00,61.077,70,110,140,170,300
2021-07-17 21:20:00,65.457,70,110,140,170,300
2021-07-17 21:25:00,61.867,70,110,140,170,300
2021-07-17 21:30:00,62.363,70,110,140,170,300
2021-07-17 21:35:00,64.055,70,110,140,170,300
2021-07-17 21:40:00,60.093,70,110,140,170,300
2021-07-17 21:45:00,64.455,70,110,140,170,300
2021-07-17 21:50:00,65.859,70,110,140,170,300
2021-07-17 21:55:00,58.234,70,110,140,170,300
2021-07-17 22:00:00,62.065,70,110,140,170,300
2021-07-17 22:05:00,60.289,70,110,140,170,300
2021-07-17 22:10:00,59.994,70,110,140,170,300
2021-07-17 22:15:00,61.966,70,110,140,170,300
2021-07-17 22:20:00,64.855,70,110,140,170,300
2021-07-17 22:25:00,65.859,70,110,140,170,300
2021-07-17 22:30:00,63.755,70,110,140,170,300
2021-07-17 22:35:00,57.651,70,110,140,170,300
2021-07-17 22:40:00,60.289,70,110,140,170,300
2021-07-17 22:45:00,59.406,70,110,140,170,300
2021-07-17 22:50:00,62.759,70,110,140,170,300
2021-07-17 22:55:00,65.457,70,110,140,170,300
2021-07-17 23:00:00,66.867,70,110,140,170,300
2021-07-17 23:05:00,62.66,70,110,140,170,300
2021-07-17 23:10:00,65.859,70,110,140,170,300
