,date,abfluss
146,2021-07-13 02:15:00,373.283
147,2021-07-13 02:20:00,373.084
148,2021-07-13 02:25:00,373.084
149,2021-07-13 02:30:00,372.885
150,2021-07-13 02:35:00,372.885
151,2021-07-13 02:40:00,372.686
152,2021-07-13 02:45:00,372.686
153,2021-07-13 02:50:00,372.686
154,2021-07-13 02:55:00,372.487
155,2021-07-13 03:00:00,372.686
156,2021-07-13 03:05:00,372.686
157,2021-07-13 03:10:00,373.283
158,2021-07-13 03:15:00,373.084
159,2021-07-13 03:20:00,373.283
160,2021-07-13 03:25:00,373.283
161,2021-07-13 03:30:00,373.483
162,2021-07-13 03:35:00,373.283
163,2021-07-13 03:40:00,373.682
164,2021-07-13 03:45:00,373.881
165,2021-07-13 03:50:00,373.881
166,2021-07-13 03:55:00,374.28
167,2021-07-13 04:00:00,374.48
168,2021-07-13 04:05:00,374.48
169,2021-07-13 04:10:00,374.879
170,2021-07-13 04:15:00,375.278
171,2021-07-13 04:20:00,375.876
172,2021-07-13 04:25:00,376.276
173,2021-07-13 04:30:00,376.875
174,2021-07-13 04:35:00,377.275
175,2021-07-13 04:40:00,378.275
176,2021-07-13 04:45:00,379.275
177,2021-07-13 04:50:00,379.675
178,2021-07-13 04:55:00,380.877
179,2021-07-13 05:00:00,381.679
180,2021-07-13 05:05:00,382.481
181,2021-07-13 05:10:00,383.284
182,2021-07-13 05:15:00,384.488
183,2021-07-13 05:20:00,385.694
184,2021-07-13 05:25:00,386.7
185,2021-07-13 05:30:00,387.504
186,2021-07-13 05:35:00,388.713
187,2021-07-13 05:40:00,389.922
188,2021-07-13 05:45:00,390.729
189,2021-07-13 05:50:00,392.142
190,2021-07-13 05:55:00,392.95
191,2021-07-13 06:00:00,394.567
192,2021-07-13 06:05:00,395.78
193,2021-07-13 06:10:00,396.59
194,2021-07-13 06:15:00,397.806
195,2021-07-13 06:20:00,399.225
196,2021-07-13 06:25:00,400.24
197,2021-07-13 06:30:00,401.458
198,2021-07-13 06:35:00,402.271
199,2021-07-13 06:40:00,403.287
200,2021-07-13 06:45:00,404.305
201,2021-07-13 06:50:00,405.119
202,2021-07-13 06:55:00,406.137
203,2021-07-13 07:00:00,406.545
204,2021-07-13 07:05:00,407.156
205,2021-07-13 07:10:00,407.768
206,2021-07-13 07:15:00,408.38
207,2021-07-13 07:20:00,408.992
208,2021-07-13 07:25:00,409.604
209,2021-07-13 07:30:00,410.421
210,2021-07-13 07:35:00,411.034
211,2021-07-13 07:40:00,412.056
212,2021-07-13 07:45:00,413.488
213,2021-07-13 07:50:00,414.716
214,2021-07-13 07:55:00,416.355
215,2021-07-13 08:00:00,418.406
216,2021-07-13 08:05:00,420.871
217,2021-07-13 08:10:00,423.133
218,2021-07-13 08:15:00,425.604
