date,Abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-21 07:05:00,2515.773,2500,3000,3600,4500,6000
2021-07-21 07:10:00,2519.839,2500,3000,3600,4500,6000
2021-07-21 07:15:00,2531.233,2500,3000,3600,4500,6000
2021-07-21 07:20:00,2524.721,2500,3000,3600,4500,6000
2021-07-21 07:25:00,2525.535,2500,3000,3600,4500,6000
2021-07-21 07:30:00,2510.081,2500,3000,3600,4500,6000
2021-07-21 07:35:00,2515.773,2500,3000,3600,4500,6000
2021-07-21 07:40:00,2510.894,2500,3000,3600,4500,6000
2021-07-21 07:45:00,2512.52,2500,3000,3600,4500,6000
2021-07-21 07:50:00,2513.333,2500,3000,3600,4500,6000
2021-07-21 07:55:00,2506.83,2500,3000,3600,4500,6000
2021-07-21 08:00:00,2519.839,2500,3000,3600,4500,6000
2021-07-21 08:05:00,2529.605,2500,3000,3600,4500,6000
2021-07-21 08:10:00,2547.526,2500,3000,3600,4500,6000
2021-07-21 08:15:00,2545.896,2500,3000,3600,4500,6000
2021-07-21 08:20:00,2544.266,2500,3000,3600,4500,6000
2021-07-21 08:25:00,2547.526,2500,3000,3600,4500,6000
2021-07-21 08:30:00,2559.758,2500,3000,3600,4500,6000
2021-07-21 08:35:00,2550.787,2500,3000,3600,4500,6000
2021-07-21 08:40:00,2551.602,2500,3000,3600,4500,6000
2021-07-21 08:45:00,2554.048,2500,3000,3600,4500,6000
2021-07-21 08:50:00,2555.68,2500,3000,3600,4500,6000
2021-07-21 08:55:00,2555.68,2500,3000,3600,4500,6000
2021-07-21 09:00:00,2556.495,2500,3000,3600,4500,6000
2021-07-21 09:05:00,2560.573,2500,3000,3600,4500,6000
2021-07-21 09:10:00,2551.602,2500,3000,3600,4500,6000
2021-07-21 09:15:00,2543.451,2500,3000,3600,4500,6000
2021-07-21 09:20:00,2527.976,2500,3000,3600,4500,6000
2021-07-21 09:25:00,2519.839,2500,3000,3600,4500,6000
2021-07-21 09:30:00,2519.839,2500,3000,3600,4500,6000
2021-07-21 09:35:00,2522.28,2500,3000,3600,4500,6000
2021-07-21 09:40:00,2523.908,2500,3000,3600,4500,6000
2021-07-21 09:45:00,2528.791,2500,3000,3600,4500,6000
2021-07-21 09:50:00,2545.081,2500,3000,3600,4500,6000
2021-07-21 09:55:00,2567.918,2500,3000,3600,4500,6000
2021-07-21 10:00:00,2580.167,2500,3000,3600,4500,6000
2021-07-21 10:05:00,2581.8,2500,3000,3600,4500,6000
2021-07-21 10:10:00,2585.885,2500,3000,3600,4500,6000
2021-07-21 10:15:00,2585.885,2500,3000,3600,4500,6000
2021-07-21 10:20:00,2591.607,2500,3000,3600,4500,6000
2021-07-21 10:25:00,2601.419,2500,3000,3600,4500,6000
2021-07-21 10:30:00,2581.8,2500,3000,3600,4500,6000
2021-07-21 10:35:00,2559.758,2500,3000,3600,4500,6000
2021-07-21 10:40:00,2540.192,2500,3000,3600,4500,6000
2021-07-21 10:45:00,2517.399,2500,3000,3600,4500,6000
2021-07-21 10:50:00,2513.333,2500,3000,3600,4500,6000
2021-07-21 10:55:00,2523.094,2500,3000,3600,4500,6000
2021-07-21 11:00:00,2524.721,2500,3000,3600,4500,6000
2021-07-21 11:05:00,2512.52,2500,3000,3600,4500,6000
2021-07-21 11:10:00,2501.142,2500,3000,3600,4500,6000
2021-07-21 11:15:00,2493.832,2500,3000,3600,4500,6000
2021-07-21 11:20:00,2488.962,2500,3000,3600,4500,6000
2021-07-21 11:25:00,2485.716,2500,3000,3600,4500,6000
2021-07-21 11:30:00,2485.716,2500,3000,3600,4500,6000
2021-07-21 11:35:00,2482.471,2500,3000,3600,4500,6000
2021-07-21 11:40:00,2475.983,2500,3000,3600,4500,6000
2021-07-21 11:45:00,2468.688,2500,3000,3600,4500,6000
2021-07-21 11:50:00,2463.827,2500,3000,3600,4500,6000
2021-07-21 11:55:00,2456.54,2500,3000,3600,4500,6000
2021-07-21 12:00:00,2437.128,2500,3000,3600,4500,6000
2021-07-21 12:05:00,2433.088,2500,3000,3600,4500,6000
2021-07-21 12:10:00,2438.744,2500,3000,3600,4500,6000
2021-07-21 12:15:00,2441.17,2500,3000,3600,4500,6000
2021-07-21 12:20:00,2441.17,2500,3000,3600,4500,6000
2021-07-21 12:25:00,2442.787,2500,3000,3600,4500,6000
2021-07-21 12:30:00,2448.448,2500,3000,3600,4500,6000
2021-07-21 12:35:00,2452.493,2500,3000,3600,4500,6000
2021-07-21 12:40:00,2469.498,2500,3000,3600,4500,6000
2021-07-21 12:45:00,2475.983,2500,3000,3600,4500,6000
