date,Abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-15 06:15:00,969.284,820,1100,1250,1350,2000
2021-07-15 06:20:00,971.789,820,1100,1250,1350,2000
2021-07-15 06:25:00,975.209,820,1100,1250,1350,2000
2021-07-15 06:30:00,978.175,820,1100,1250,1350,2000
2021-07-15 06:35:00,980.687,820,1100,1250,1350,2000
2021-07-15 06:40:00,984.573,820,1100,1250,1350,2000
2021-07-15 06:45:00,987.776,820,1100,1250,1350,2000
2021-07-15 06:50:00,991.9,820,1100,1250,1350,2000
2021-07-15 06:55:00,995.11,820,1100,1250,1350,2000
2021-07-15 07:00:00,999.702,820,1100,1250,1350,2000
2021-07-15 07:05:00,1002.919,820,1100,1250,1350,2000
2021-07-15 07:10:00,1002.919,820,1100,1250,1350,2000
2021-07-15 07:15:00,1007.291,820,1100,1250,1350,2000
2021-07-15 07:20:00,1012.36,820,1100,1250,1350,2000
2021-07-15 07:25:00,1015.358,820,1100,1250,1350,2000
2021-07-15 07:30:00,1019.514,820,1100,1250,1350,2000
2021-07-15 07:35:00,1023.905,820,1100,1250,1350,2000
2021-07-15 07:40:00,1027.608,820,1100,1250,1350,2000
2021-07-15 07:45:00,1032.241,820,1100,1250,1350,2000
2021-07-15 07:50:00,1037.343,820,1100,1250,1350,2000
2021-07-15 07:55:00,1042.917,820,1100,1250,1350,2000
2021-07-15 08:00:00,1047.336,820,1100,1250,1350,2000
2021-07-15 08:05:00,1051.06,820,1100,1250,1350,2000
2021-07-15 08:10:00,1051.992,820,1100,1250,1350,2000
2021-07-15 08:15:00,1051.293,820,1100,1250,1350,2000
2021-07-15 08:20:00,1055.022,820,1100,1250,1350,2000
2021-07-15 08:25:00,1058.053,820,1100,1250,1350,2000
2021-07-15 08:30:00,1062.722,820,1100,1250,1350,2000
2021-07-15 08:35:00,1065.058,820,1100,1250,1350,2000
2021-07-15 08:40:00,1069.267,820,1100,1250,1350,2000
2021-07-15 08:45:00,1070.67,820,1100,1250,1350,2000
2021-07-15 08:50:00,1072.543,820,1100,1250,1350,2000
2021-07-15 08:55:00,1075.821,820,1100,1250,1350,2000
2021-07-15 09:00:00,1076.758,820,1100,1250,1350,2000
2021-07-15 09:05:00,1077.93,820,1100,1250,1350,2000
2021-07-15 09:10:00,1080.275,820,1100,1250,1350,2000
2021-07-15 09:15:00,1081.213,820,1100,1250,1350,2000
2021-07-15 09:20:00,1082.151,820,1100,1250,1350,2000
2021-07-15 09:25:00,1083.794,820,1100,1250,1350,2000
2021-07-15 09:30:00,1085.202,820,1100,1250,1350,2000
2021-07-15 09:35:00,1086.611,820,1100,1250,1350,2000
2021-07-15 09:40:00,1086.846,820,1100,1250,1350,2000
2021-07-15 09:45:00,1088.255,820,1100,1250,1350,2000
2021-07-15 09:50:00,1088.49,820,1100,1250,1350,2000
2021-07-15 09:55:00,1089.195,820,1100,1250,1350,2000
2021-07-15 10:00:00,1089.9,820,1100,1250,1350,2000
2021-07-15 10:05:00,1090.605,820,1100,1250,1350,2000
2021-07-15 10:10:00,1094.603,820,1100,1250,1350,2000
2021-07-15 10:15:00,1097.427,820,1100,1250,1350,2000
