date,Abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-19 11:45:00,525.691,480,640,720,830,2000
2021-07-19 11:50:00,524.348,480,640,720,830,2000
2021-07-19 11:55:00,523.453,480,640,720,830,2000
2021-07-19 12:00:00,523.005,480,640,720,830,2000
2021-07-19 12:05:00,522.782,480,640,720,830,2000
2021-07-19 12:10:00,523.229,480,640,720,830,2000
2021-07-19 12:15:00,524.124,480,640,720,830,2000
2021-07-19 12:20:00,525.467,480,640,720,830,2000
2021-07-19 12:25:00,526.139,480,640,720,830,2000
2021-07-19 12:30:00,527.035,480,640,720,830,2000
2021-07-19 12:35:00,527.259,480,640,720,830,2000
2021-07-19 12:40:00,527.707,480,640,720,830,2000
2021-07-19 12:45:00,527.483,480,640,720,830,2000
2021-07-19 12:50:00,527.931,480,640,720,830,2000
2021-07-19 12:55:00,527.707,480,640,720,830,2000
2021-07-19 13:00:00,527.483,480,640,720,830,2000
2021-07-19 13:05:00,526.811,480,640,720,830,2000
2021-07-19 13:10:00,527.035,480,640,720,830,2000
2021-07-19 13:15:00,526.363,480,640,720,830,2000
2021-07-19 13:20:00,526.587,480,640,720,830,2000
2021-07-19 13:25:00,525.915,480,640,720,830,2000
2021-07-19 13:30:00,525.691,480,640,720,830,2000
2021-07-19 13:35:00,525.467,480,640,720,830,2000
2021-07-19 13:40:00,525.915,480,640,720,830,2000
2021-07-19 13:45:00,525.243,480,640,720,830,2000
2021-07-19 13:50:00,525.243,480,640,720,830,2000
2021-07-19 13:55:00,525.019,480,640,720,830,2000
2021-07-19 14:00:00,524.796,480,640,720,830,2000
2021-07-19 14:05:00,524.572,480,640,720,830,2000
2021-07-19 14:10:00,523.9,480,640,720,830,2000
2021-07-19 14:15:00,523.9,480,640,720,830,2000
2021-07-19 14:20:00,523.229,480,640,720,830,2000
2021-07-19 14:25:00,522.782,480,640,720,830,2000
2021-07-19 14:30:00,522.558,480,640,720,830,2000
2021-07-19 14:35:00,522.558,480,640,720,830,2000
2021-07-19 14:40:00,523.005,480,640,720,830,2000
2021-07-19 14:45:00,523.005,480,640,720,830,2000
2021-07-19 14:50:00,523.453,480,640,720,830,2000
2021-07-19 14:55:00,523.9,480,640,720,830,2000
2021-07-19 15:00:00,523.676,480,640,720,830,2000
2021-07-19 15:05:00,523.676,480,640,720,830,2000
2021-07-19 15:10:00,524.572,480,640,720,830,2000
2021-07-19 15:15:00,525.019,480,640,720,830,2000
2021-07-19 15:20:00,524.796,480,640,720,830,2000
2021-07-19 15:25:00,524.796,480,640,720,830,2000
2021-07-19 15:30:00,525.243,480,640,720,830,2000
2021-07-19 15:35:00,525.019,480,640,720,830,2000
2021-07-19 15:40:00,525.019,480,640,720,830,2000
2021-07-19 15:45:00,525.019,480,640,720,830,2000
2021-07-19 15:50:00,524.796,480,640,720,830,2000
2021-07-19 15:55:00,524.572,480,640,720,830,2000
2021-07-19 16:00:00,524.348,480,640,720,830,2000
2021-07-19 16:05:00,524.796,480,640,720,830,2000
2021-07-19 16:10:00,524.572,480,640,720,830,2000
2021-07-19 16:15:00,524.796,480,640,720,830,2000
2021-07-19 16:20:00,524.348,480,640,720,830,2000
2021-07-19 16:25:00,524.572,480,640,720,830,2000
2021-07-19 16:30:00,524.348,480,640,720,830,2000
2021-07-19 16:35:00,524.572,480,640,720,830,2000
2021-07-19 16:40:00,524.124,480,640,720,830,2000
2021-07-19 16:45:00,523.9,480,640,720,830,2000
2021-07-19 16:50:00,524.124,480,640,720,830,2000
2021-07-19 16:55:00,523.9,480,640,720,830,2000
2021-07-19 17:00:00,523.676,480,640,720,830,2000
2021-07-19 17:05:00,523.005,480,640,720,830,2000
2021-07-19 17:10:00,523.005,480,640,720,830,2000
2021-07-19 17:15:00,522.558,480,640,720,830,2000
2021-07-19 17:20:00,522.335,480,640,720,830,2000
2021-07-19 17:25:00,522.335,480,640,720,830,2000
2021-07-19 17:30:00,522.111,480,640,720,830,2000
2021-07-19 17:35:00,522.782,480,640,720,830,2000
2021-07-19 17:40:00,522.335,480,640,720,830,2000
2021-07-19 17:45:00,522.782,480,640,720,830,2000
2021-07-19 17:50:00,522.782,480,640,720,830,2000
2021-07-19 17:55:00,522.111,480,640,720,830,2000
2021-07-19 18:00:00,522.335,480,640,720,830,2000
2021-07-19 18:05:00,522.111,480,640,720,830,2000
2021-07-19 18:10:00,522.111,480,640,720,830,2000
2021-07-19 18:15:00,521.887,480,640,720,830,2000
2021-07-19 18:20:00,521.887,480,640,720,830,2000
2021-07-19 18:25:00,521.887,480,640,720,830,2000
2021-07-19 18:30:00,521.887,480,640,720,830,2000
2021-07-19 18:35:00,521.217,480,640,720,830,2000
2021-07-19 18:40:00,520.77,480,640,720,830,2000
2021-07-19 18:45:00,520.323,480,640,720,830,2000
2021-07-19 18:50:00,520.1,480,640,720,830,2000
2021-07-19 18:55:00,519.429,480,640,720,830,2000
2021-07-19 19:00:00,519.206,480,640,720,830,2000
2021-07-19 19:05:00,518.982,480,640,720,830,2000
2021-07-19 19:10:00,518.759,480,640,720,830,2000
2021-07-19 19:15:00,518.536,480,640,720,830,2000
2021-07-19 19:20:00,518.313,480,640,720,830,2000
2021-07-19 19:25:00,518.536,480,640,720,830,2000
2021-07-19 19:30:00,518.313,480,640,720,830,2000
2021-07-19 19:35:00,518.536,480,640,720,830,2000
2021-07-19 19:40:00,518.536,480,640,720,830,2000
2021-07-19 19:45:00,518.536,480,640,720,830,2000
2021-07-19 19:50:00,518.536,480,640,720,830,2000
2021-07-19 19:55:00,518.536,480,640,720,830,2000
2021-07-19 20:00:00,518.313,480,640,720,830,2000
2021-07-19 20:05:00,518.536,480,640,720,830,2000
2021-07-19 20:10:00,518.536,480,640,720,830,2000
2021-07-19 20:15:00,518.536,480,640,720,830,2000
2021-07-19 20:20:00,518.759,480,640,720,830,2000
2021-07-19 20:25:00,518.536,480,640,720,830,2000
2021-07-19 20:30:00,518.759,480,640,720,830,2000
2021-07-19 20:35:00,518.759,480,640,720,830,2000
2021-07-19 20:40:00,518.09,480,640,720,830,2000
2021-07-19 20:45:00,518.313,480,640,720,830,2000
2021-07-19 20:50:00,517.866,480,640,720,830,2000
2021-07-19 20:55:00,517.866,480,640,720,830,2000
2021-07-19 21:00:00,517.866,480,640,720,830,2000
2021-07-19 21:05:00,517.866,480,640,720,830,2000
2021-07-19 21:10:00,517.643,480,640,720,830,2000
2021-07-19 21:15:00,518.09,480,640,720,830,2000
2021-07-19 21:20:00,518.313,480,640,720,830,2000
2021-07-19 21:25:00,518.09,480,640,720,830,2000
2021-07-19 21:30:00,518.09,480,640,720,830,2000
2021-07-19 21:35:00,518.536,480,640,720,830,2000
2021-07-19 21:40:00,518.09,480,640,720,830,2000
2021-07-19 21:45:00,518.09,480,640,720,830,2000
2021-07-19 21:50:00,517.197,480,640,720,830,2000
2021-07-19 21:55:00,517.42,480,640,720,830,2000
2021-07-19 22:00:00,517.197,480,640,720,830,2000
2021-07-19 22:05:00,516.75,480,640,720,830,2000
2021-07-19 22:10:00,516.527,480,640,720,830,2000
2021-07-19 22:15:00,515.858,480,640,720,830,2000
2021-07-19 22:20:00,515.635,480,640,720,830,2000
2021-07-19 22:25:00,514.743,480,640,720,830,2000
2021-07-19 22:30:00,514.743,480,640,720,830,2000
2021-07-19 22:35:00,513.406,480,640,720,830,2000
2021-07-19 22:40:00,513.406,480,640,720,830,2000
2021-07-19 22:45:00,512.738,480,640,720,830,2000
2021-07-19 22:50:00,511.847,480,640,720,830,2000
2021-07-19 22:55:00,511.402,480,640,720,830,2000
2021-07-19 23:00:00,510.957,480,640,720,830,2000
2021-07-19 23:05:00,510.512,480,640,720,830,2000
2021-07-19 23:10:00,510.289,480,640,720,830,2000
2021-07-19 23:15:00,509.399,480,640,720,830,2000
2021-07-19 23:20:00,508.955,480,640,720,830,2000
2021-07-19 23:25:00,508.732,480,640,720,830,2000
2021-07-19 23:30:00,508.51,480,640,720,830,2000
2021-07-19 23:35:00,508.51,480,640,720,830,2000
2021-07-19 23:40:00,508.287,480,640,720,830,2000
2021-07-19 23:45:00,508.065,480,640,720,830,2000
