Abfluss,gs1,gs2,gs3,gs4,gs5
784.013,720,940,1050,1150,2000
783.644,720,940,1050,1150,2000
782.906,720,940,1050,1150,2000
783.275,720,940,1050,1150,2000
782.537,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.06,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.06,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
782.168,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
780.323,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
777.745,720,940,1050,1150,2000
776.641,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
774.435,720,940,1050,1150,2000
774.435,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
775.171,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
775.538,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
774.068,720,940,1050,1150,2000
774.435,720,940,1050,1150,2000
774.435,720,940,1050,1150,2000
775.171,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
777.009,720,940,1050,1150,2000
777.376,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
780.692,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
782.906,720,940,1050,1150,2000
782.906,720,940,1050,1150,2000
784.013,720,940,1050,1150,2000
784.013,720,940,1050,1150,2000
783.275,720,940,1050,1150,2000
783.275,720,940,1050,1150,2000
783.644,720,940,1050,1150,2000
783.644,720,940,1050,1150,2000
782.906,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
781.06,720,940,1050,1150,2000
780.323,720,940,1050,1150,2000
780.323,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
778.85,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
778.85,720,940,1050,1150,2000
778.85,720,940,1050,1150,2000
778.482,720,940,1050,1150,2000
779.218,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
779.587,720,940,1050,1150,2000
779.955,720,940,1050,1150,2000
780.692,720,940,1050,1150,2000
781.429,720,940,1050,1150,2000
783.275,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.862,720,940,1050,1150,2000
786.971,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
786.231,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.492,720,940,1050,1150,2000
785.122,720,940,1050,1150,2000
784.752,720,940,1050,1150,2000
784.013,720,940,1050,1150,2000
781.799,720,940,1050,1150,2000
780.323,720,940,1050,1150,2000
778.85,720,940,1050,1150,2000
777.009,720,940,1050,1150,2000
775.906,720,940,1050,1150,2000
774.803,720,940,1050,1150,2000
774.068,720,940,1050,1150,2000
772.6,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.132,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
770.765,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
770.398,720,940,1050,1150,2000
771.499,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
771.866,720,940,1050,1150,2000
772.233,720,940,1050,1150,2000
