Time,BAFU_2481_AbflussRadar
2021-07-27T03:25:00Z,38.303
2021-07-27T03:30:00Z,38.39
2021-07-27T03:35:00Z,38.743
2021-07-27T03:40:00Z,38.478
2021-07-27T03:45:00Z,39.007
2021-07-27T03:50:00Z,38.831
2021-07-27T03:55:00Z,38.655
2021-07-27T04:00:00Z,39.007
2021-07-27T04:05:00Z,39.095
2021-07-27T04:10:00Z,38.831
2021-07-27T04:15:00Z,38.127
2021-07-27T04:20:00Z,38.39
2021-07-27T04:25:00Z,38.566
2021-07-27T04:30:00Z,38.919
2021-07-27T04:35:00Z,38.127
2021-07-27T04:40:00Z,38.655
2021-07-27T04:45:00Z,38.478
2021-07-27T04:50:00Z,38.039
2021-07-27T04:55:00Z,38.478
2021-07-27T05:00:00Z,38.478
2021-07-27T05:05:00Z,39.449
2021-07-27T05:10:00Z,39.095
2021-07-27T05:15:00Z,39.803
2021-07-27T05:20:00Z,39.007
2021-07-27T05:25:00Z,37.513
2021-07-27T05:30:00Z,37.339
2021-07-27T05:35:00Z,37.513
2021-07-27T05:40:00Z,36.381
2021-07-27T05:45:00Z,36.816
2021-07-27T05:50:00Z,37.339
2021-07-27T05:55:00Z,37.776
2021-07-27T06:00:00Z,36.816
2021-07-27T06:05:00Z,38.127
2021-07-27T06:10:00Z,37.864
2021-07-27T06:15:00Z,39.36
2021-07-27T06:20:00Z,39.36
2021-07-27T06:25:00Z,37.513
2021-07-27T06:30:00Z,37.776
2021-07-27T06:35:00Z,37.252
2021-07-27T06:40:00Z,37.952
2021-07-27T06:45:00Z,38.303
2021-07-27T06:50:00Z,37.513
2021-07-27T06:55:00Z,37.426
2021-07-27T07:00:00Z,37.339
2021-07-27T07:05:00Z,37.513
2021-07-27T07:10:00Z,36.99
2021-07-27T07:15:00Z,37.165
2021-07-27T07:20:00Z,37.077
2021-07-27T07:25:00Z,37.165
2021-07-27T07:30:00Z,37.689
2021-07-27T07:35:00Z,36.903
2021-07-27T07:40:00Z,36.729
2021-07-27T07:45:00Z,36.468
2021-07-27T07:50:00Z,36.208
2021-07-27T07:55:00Z,35.861
2021-07-27T08:00:00Z,35.602
2021-07-27T08:05:00Z,35.774
2021-07-27T08:10:00Z,36.816
2021-07-27T08:15:00Z,37.165
2021-07-27T08:20:00Z,38.127
2021-07-27T08:25:00Z,38.743
2021-07-27T08:30:00Z,38.919
2021-07-27T08:35:00Z,38.478
2021-07-27T08:40:00Z,38.39
2021-07-27T08:45:00Z,38.303
2021-07-27T08:50:00Z,38.39
2021-07-27T08:55:00Z,38.215
2021-07-27T09:00:00Z,38.215
2021-07-27T09:05:00Z,37.952
2021-07-27T09:10:00Z,37.864
2021-07-27T09:15:00Z,37.601
2021-07-27T09:20:00Z,37.601
2021-07-27T09:25:00Z,35.861
2021-07-27T09:30:00Z,34.397
2021-07-27T09:35:00Z,33.286
2021-07-27T09:40:00Z,32.606
2021-07-27T09:45:00Z,32.861
2021-07-27T09:50:00Z,34.826
2021-07-27T09:55:00Z,36.208
2021-07-27T10:00:00Z,35.688
2021-07-27T10:05:00Z,35.861
2021-07-27T10:10:00Z,35.429
2021-07-27T10:15:00Z,34.74
2021-07-27T10:20:00Z,34.654
2021-07-27T10:25:00Z,35.343
2021-07-27T10:30:00Z,35.688
2021-07-27T10:35:00Z,35.948
2021-07-27T10:40:00Z,36.816
2021-07-27T10:45:00Z,36.903
2021-07-27T10:50:00Z,36.816
2021-07-27T10:55:00Z,36.295
2021-07-27T11:00:00Z,35.602
2021-07-27T11:05:00Z,34.911
2021-07-27T11:10:00Z,34.482
2021-07-27T11:15:00Z,34.311
2021-07-27T11:20:00Z,33.712
2021-07-27T11:25:00Z,33.542
2021-07-27T11:30:00Z,33.371
2021-07-27T11:35:00Z,33.2
2021-07-27T11:40:00Z,33.371
2021-07-27T11:45:00Z,33.627
2021-07-27T11:50:00Z,33.798
2021-07-27T11:55:00Z,33.456
2021-07-27T12:00:00Z,33.371
2021-07-27T12:05:00Z,33.456
2021-07-27T12:10:00Z,33.456
2021-07-27T12:15:00Z,33.286
2021-07-27T12:20:00Z,33.371
2021-07-27T12:25:00Z,33.286
2021-07-27T12:30:00Z,33.798
2021-07-27T12:35:00Z,33.456
2021-07-27T12:40:00Z,33.883
2021-07-27T12:45:00Z,33.968
2021-07-27T12:50:00Z,33.883
2021-07-27T12:55:00Z,33.798
2021-07-27T13:00:00Z,33.712
2021-07-27T13:05:00Z,33.712
2021-07-27T13:10:00Z,33.712
2021-07-27T13:15:00Z,34.054
2021-07-27T13:20:00Z,34.225
2021-07-27T13:25:00Z,34.054
2021-07-27T13:30:00Z,33.798
2021-07-27T13:35:00Z,33.968
2021-07-27T13:40:00Z,34.225
2021-07-27T13:45:00Z,33.968
2021-07-27T13:50:00Z,33.968
