Time,BAFU_2484_PegelPneumatik
2021-07-29T12:30:00Z,447.648
2021-07-29T12:40:00Z,447.647
2021-07-29T12:50:00Z,447.646
2021-07-29T13:00:00Z,447.645
2021-07-29T13:10:00Z,447.644
2021-07-29T13:20:00Z,447.644
2021-07-29T13:30:00Z,447.643
2021-07-29T13:40:00Z,447.642
2021-07-29T13:50:00Z,447.641
2021-07-29T14:00:00Z,447.64
2021-07-29T14:10:00Z,447.639
2021-07-29T14:20:00Z,447.638
2021-07-29T14:30:00Z,447.637
2021-07-29T14:40:00Z,447.636
2021-07-29T14:50:00Z,447.635
2021-07-29T15:00:00Z,447.634
2021-07-29T15:10:00Z,447.633
2021-07-29T15:20:00Z,447.632
2021-07-29T15:30:00Z,447.631
2021-07-29T15:40:00Z,447.631
2021-07-29T15:50:00Z,447.629
2021-07-29T16:00:00Z,447.628
2021-07-29T16:10:00Z,447.626
2021-07-29T16:20:00Z,447.625
2021-07-29T16:30:00Z,447.624
2021-07-29T16:40:00Z,447.623
2021-07-29T16:50:00Z,447.623
2021-07-29T17:00:00Z,447.622
2021-07-29T17:10:00Z,447.622
2021-07-29T17:20:00Z,447.621
2021-07-29T17:30:00Z,447.621
2021-07-29T17:40:00Z,447.621
2021-07-29T17:50:00Z,447.621
2021-07-29T18:00:00Z,447.621
2021-07-29T18:10:00Z,447.621
2021-07-29T18:20:00Z,447.621
2021-07-29T18:30:00Z,447.622
2021-07-29T18:40:00Z,447.622
2021-07-29T18:50:00Z,447.622
2021-07-29T19:00:00Z,447.622
2021-07-29T19:10:00Z,447.622
2021-07-29T19:20:00Z,447.622
2021-07-29T19:30:00Z,447.622
2021-07-29T19:40:00Z,447.622
2021-07-29T19:50:00Z,447.622
2021-07-29T20:00:00Z,447.622
2021-07-29T20:10:00Z,447.622
2021-07-29T20:20:00Z,447.621
2021-07-29T20:30:00Z,447.621
2021-07-29T20:40:00Z,447.62
2021-07-29T20:50:00Z,447.62
2021-07-29T21:00:00Z,447.62
2021-07-29T21:10:00Z,447.619
2021-07-29T21:20:00Z,447.619
2021-07-29T21:30:00Z,447.619
2021-07-29T21:40:00Z,447.618
2021-07-29T21:50:00Z,447.618
2021-07-29T22:00:00Z,447.617
2021-07-29T22:10:00Z,447.617
2021-07-29T22:20:00Z,447.616
2021-07-29T22:30:00Z,447.616
2021-07-29T22:40:00Z,447.615
2021-07-29T22:50:00Z,447.615
2021-07-29T23:00:00Z,447.614
2021-07-29T23:10:00Z,447.613
2021-07-29T23:20:00Z,447.613
2021-07-29T23:30:00Z,447.612
2021-07-29T23:40:00Z,447.612
2021-07-29T23:50:00Z,447.611
2021-07-30T00:00:00Z,447.611
2021-07-30T00:10:00Z,447.61
2021-07-30T00:20:00Z,447.61
2021-07-30T00:30:00Z,447.609
2021-07-30T00:40:00Z,447.608
2021-07-30T00:50:00Z,447.608
2021-07-30T01:00:00Z,447.608
2021-07-30T01:10:00Z,447.607
2021-07-30T01:20:00Z,447.606
2021-07-30T01:30:00Z,447.606
2021-07-30T01:40:00Z,447.605
2021-07-30T01:50:00Z,447.604
2021-07-30T02:00:00Z,447.603
2021-07-30T02:10:00Z,447.603
2021-07-30T02:20:00Z,447.602
2021-07-30T02:30:00Z,447.602
2021-07-30T02:40:00Z,447.601
