Time,BAFU_2481_AbflussRadar
2021-07-14T15:05:00Z,76.018
2021-07-14T15:10:00Z,75.6
2021-07-14T15:15:00Z,71.249
2021-07-14T15:20:00Z,69.304
2021-07-14T15:25:00Z,69.202
2021-07-14T15:30:00Z,69.202
2021-07-14T15:35:00Z,71.249
2021-07-14T15:40:00Z,72.692
2021-07-14T15:45:00Z,71.352
2021-07-14T15:50:00Z,73.416
2021-07-14T15:55:00Z,71.866
2021-07-14T16:00:00Z,72.485
2021-07-14T16:05:00Z,71.249
2021-07-14T16:10:00Z,70.941
2021-07-14T16:15:00Z,70.633
2021-07-14T16:20:00Z,70.838
2021-07-14T16:25:00Z,70.838
2021-07-14T16:30:00Z,71.763
2021-07-14T16:35:00Z,70.633
2021-07-14T16:40:00Z,70.326
2021-07-14T16:45:00Z,69.712
2021-07-14T16:50:00Z,68.489
2021-07-14T16:55:00Z,69.508
2021-07-14T17:00:00Z,70.121
2021-07-14T17:05:00Z,68.896
2021-07-14T17:10:00Z,68.998
2021-07-14T17:15:00Z,68.489
2021-07-14T17:20:00Z,66.766
2021-07-14T17:25:00Z,66.161
2021-07-14T17:30:00Z,66.464
2021-07-14T17:35:00Z,67.272
2021-07-14T17:40:00Z,68.387
2021-07-14T17:45:00Z,69.1
2021-07-14T17:50:00Z,68.896
2021-07-14T17:55:00Z,68.794
2021-07-14T18:00:00Z,68.489
2021-07-14T18:05:00Z,68.286
2021-07-14T18:10:00Z,67.677
2021-07-14T18:15:00Z,67.981
2021-07-14T18:20:00Z,68.489
2021-07-14T18:25:00Z,66.464
2021-07-14T18:30:00Z,67.879
2021-07-14T18:35:00Z,68.591
2021-07-14T18:40:00Z,67.981
2021-07-14T18:45:00Z,67.677
2021-07-14T18:50:00Z,67.373
2021-07-14T18:55:00Z,67.677
2021-07-14T19:00:00Z,68.591
2021-07-14T19:05:00Z,67.981
2021-07-14T19:10:00Z,69.304
2021-07-14T19:15:00Z,67.171
2021-07-14T19:20:00Z,68.083
2021-07-14T19:25:00Z,67.575
2021-07-14T19:30:00Z,67.879
2021-07-14T19:35:00Z,67.373
2021-07-14T19:40:00Z,66.363
2021-07-14T19:45:00Z,67.272
2021-07-14T19:50:00Z,67.373
2021-07-14T19:55:00Z,66.665
2021-07-14T20:00:00Z,66.262
2021-07-14T20:05:00Z,65.96
2021-07-14T20:10:00Z,66.665
2021-07-14T20:15:00Z,67.272
2021-07-14T20:20:00Z,67.575
2021-07-14T20:25:00Z,68.591
2021-07-14T20:30:00Z,69.406
2021-07-14T20:35:00Z,69.406
2021-07-14T20:40:00Z,68.896
2021-07-14T20:45:00Z,69.304
2021-07-14T20:50:00Z,67.373
2021-07-14T20:55:00Z,68.591
2021-07-14T21:00:00Z,69.304
2021-07-14T21:05:00Z,70.735
2021-07-14T21:10:00Z,70.121
2021-07-14T21:15:00Z,71.352
2021-07-14T21:20:00Z,70.428
2021-07-14T21:25:00Z,71.146
2021-07-14T21:30:00Z,71.043
2021-07-14T21:35:00Z,68.794
2021-07-14T21:40:00Z,69.406
2021-07-14T21:45:00Z,71.249
2021-07-14T21:50:00Z,71.249
2021-07-14T21:55:00Z,70.223
2021-07-14T22:00:00Z,71.146
2021-07-14T22:05:00Z,72.382
2021-07-14T22:10:00Z,71.455
2021-07-14T22:15:00Z,71.249
2021-07-14T22:20:00Z,71.352
2021-07-14T22:25:00Z,72.279
2021-07-14T22:30:00Z,73.312
2021-07-14T22:35:00Z,73.727
2021-07-14T22:40:00Z,73.312
2021-07-14T22:45:00Z,69.304
2021-07-14T22:50:00Z,68.692
2021-07-14T22:55:00Z,67.07
2021-07-14T23:00:00Z,67.474
2021-07-14T23:05:00Z,66.06
2021-07-14T23:10:00Z,65.557
2021-07-14T23:15:00Z,65.156
2021-07-14T23:20:00Z,63.955
2021-07-14T23:25:00Z,63.058
2021-07-14T23:30:00Z,64.055
2021-07-14T23:35:00Z,65.859
2021-07-14T23:40:00Z,69.202
2021-07-14T23:45:00Z,71.043
2021-07-14T23:50:00Z,70.838
2021-07-14T23:55:00Z,71.66
2021-07-15T00:00:00Z,71.352
2021-07-15T00:05:00Z,72.382
2021-07-15T00:10:00Z,73.002
2021-07-15T00:15:00Z,74.246
2021-07-15T00:20:00Z,73.002
2021-07-15T00:25:00Z,72.485
2021-07-15T00:30:00Z,73.416
2021-07-15T00:35:00Z,73.002
2021-07-15T00:40:00Z,72.279
2021-07-15T00:45:00Z,73.209
2021-07-15T00:50:00Z,73.312
2021-07-15T00:55:00Z,74.246
2021-07-15T01:00:00Z,74.142
2021-07-15T01:05:00Z,74.246
2021-07-15T01:10:00Z,73.209
2021-07-15T01:15:00Z,73.727
2021-07-15T01:20:00Z,73.623
2021-07-15T01:25:00Z,73.105
2021-07-15T01:30:00Z,74.142
2021-07-15T01:35:00Z,78.328
2021-07-15T01:40:00Z,79.384
2021-07-15T01:45:00Z,78.645
2021-07-15T01:50:00Z,77.696
2021-07-15T01:55:00Z,78.012
2021-07-15T02:00:00Z,76.332
2021-07-15T02:05:00Z,72.072
2021-07-15T02:10:00Z,71.249
2021-07-15T02:15:00Z,72.072
2021-07-15T02:20:00Z,71.866
2021-07-15T02:25:00Z,71.763
2021-07-15T02:30:00Z,72.175
2021-07-15T02:35:00Z,73.209
2021-07-15T02:40:00Z,73.002
2021-07-15T02:45:00Z,74.87
2021-07-15T02:50:00Z,75.183
2021-07-15T02:55:00Z,74.87
2021-07-15T03:00:00Z,73.209
2021-07-15T03:05:00Z,74.038
2021-07-15T03:10:00Z,74.454
