Time,BAFU_2063_AbflussPneumatikoben
2021-07-27T04:05:00Z,756.526
2021-07-27T04:10:00Z,756.89
2021-07-27T04:15:00Z,756.89
2021-07-27T04:20:00Z,757.253
2021-07-27T04:25:00Z,757.253
2021-07-27T04:30:00Z,755.435
2021-07-27T04:35:00Z,755.435
2021-07-27T04:40:00Z,755.435
2021-07-27T04:45:00Z,755.072
2021-07-27T04:50:00Z,754.709
2021-07-27T04:55:00Z,755.072
2021-07-27T05:00:00Z,755.072
2021-07-27T05:05:00Z,753.62
2021-07-27T05:10:00Z,753.983
2021-07-27T05:15:00Z,753.983
2021-07-27T05:20:00Z,754.346
2021-07-27T05:25:00Z,754.709
2021-07-27T05:30:00Z,755.435
2021-07-27T05:35:00Z,755.798
2021-07-27T05:40:00Z,755.798
2021-07-27T05:45:00Z,755.435
2021-07-27T05:50:00Z,755.435
2021-07-27T05:55:00Z,755.072
2021-07-27T06:00:00Z,755.798
2021-07-27T06:05:00Z,755.435
2021-07-27T06:10:00Z,753.983
2021-07-27T06:15:00Z,752.894
2021-07-27T06:20:00Z,751.805
2021-07-27T06:25:00Z,750.356
2021-07-27T06:30:00Z,748.907
2021-07-27T06:35:00Z,747.459
2021-07-27T06:40:00Z,746.736
2021-07-27T06:45:00Z,746.736
2021-07-27T06:50:00Z,746.013
2021-07-27T06:55:00Z,746.375
2021-07-27T07:00:00Z,746.375
2021-07-27T07:05:00Z,746.736
2021-07-27T07:10:00Z,746.375
2021-07-27T07:15:00Z,746.013
2021-07-27T07:20:00Z,746.013
2021-07-27T07:25:00Z,746.375
2021-07-27T07:30:00Z,747.098
2021-07-27T07:35:00Z,748.182
2021-07-27T07:40:00Z,748.544
2021-07-27T07:45:00Z,750.356
2021-07-27T07:50:00Z,751.442
2021-07-27T07:55:00Z,753.983
2021-07-27T08:00:00Z,755.072
2021-07-27T08:05:00Z,754.346
2021-07-27T08:10:00Z,756.89
2021-07-27T08:15:00Z,757.617
2021-07-27T08:20:00Z,757.981
2021-07-27T08:25:00Z,758.708
2021-07-27T08:30:00Z,759.072
2021-07-27T08:35:00Z,759.801
2021-07-27T08:40:00Z,760.53
2021-07-27T08:45:00Z,761.989
2021-07-27T08:50:00Z,764.179
2021-07-27T08:55:00Z,764.91
2021-07-27T09:00:00Z,767.835
2021-07-27T09:05:00Z,770.765
2021-07-27T09:10:00Z,771.866
2021-07-27T09:15:00Z,772.233
2021-07-27T09:20:00Z,772.233
2021-07-27T09:25:00Z,772.233
2021-07-27T09:30:00Z,771.866
2021-07-27T09:35:00Z,772.6
2021-07-27T09:40:00Z,771.499
2021-07-27T09:45:00Z,772.6
2021-07-27T09:50:00Z,772.233
2021-07-27T09:55:00Z,769.666
2021-07-27T10:00:00Z,767.103
2021-07-27T10:05:00Z,765.275
2021-07-27T10:10:00Z,764.179
2021-07-27T10:15:00Z,764.179
2021-07-27T10:20:00Z,762.718
2021-07-27T10:25:00Z,762.353
2021-07-27T10:30:00Z,762.718
2021-07-27T10:35:00Z,763.814
2021-07-27T10:40:00Z,764.544
2021-07-27T10:45:00Z,765.64
2021-07-27T10:50:00Z,767.103
2021-07-27T10:55:00Z,767.469
2021-07-27T11:00:00Z,767.835
2021-07-27T11:05:00Z,766.737
