Time,BAFU_2473_AbflussPneumatikFluss
2021-07-21T11:15:00Z,358.323
2021-07-21T11:20:00Z,357.378
2021-07-21T11:25:00Z,356.906
2021-07-21T11:30:00Z,355.962
2021-07-21T11:35:00Z,355.019
2021-07-21T11:40:00Z,354.784
2021-07-21T11:45:00Z,354.548
2021-07-21T11:50:00Z,355.019
2021-07-21T11:55:00Z,355.019
2021-07-21T12:00:00Z,355.962
2021-07-21T12:05:00Z,355.962
2021-07-21T12:10:00Z,356.434
2021-07-21T12:15:00Z,357.142
2021-07-21T12:20:00Z,357.614
2021-07-21T12:25:00Z,358.559
2021-07-21T12:30:00Z,360.452
2021-07-21T12:35:00Z,362.347
2021-07-21T12:40:00Z,364.959
2021-07-21T12:45:00Z,367.816
2021-07-21T12:50:00Z,371.635
2021-07-21T12:55:00Z,375.467
2021-07-21T13:00:00Z,379.552
2021-07-21T13:05:00Z,384.134
2021-07-21T13:10:00Z,389.219
2021-07-21T13:15:00Z,394.082
2021-07-21T13:20:00Z,398.963
2021-07-21T13:25:00Z,403.618
2021-07-21T13:30:00Z,408.29
2021-07-21T13:35:00Z,412.485
2021-07-21T13:40:00Z,415.949
2021-07-21T13:45:00Z,419.175
2021-07-21T13:50:00Z,421.661
2021-07-21T13:55:00Z,423.653
2021-07-21T14:00:00Z,425.648
2021-07-21T14:05:00Z,427.147
2021-07-21T14:10:00Z,428.147
2021-07-21T14:15:00Z,429.147
2021-07-21T14:20:00Z,429.898
2021-07-21T14:25:00Z,430.649
2021-07-21T14:30:00Z,431.401
2021-07-21T14:35:00Z,431.652
2021-07-21T14:40:00Z,431.903
2021-07-21T14:45:00Z,431.652
2021-07-21T14:50:00Z,431.903
2021-07-21T14:55:00Z,431.903
2021-07-21T15:00:00Z,431.652
2021-07-21T15:05:00Z,431.401
2021-07-21T15:10:00Z,431.401
2021-07-21T15:15:00Z,431.15
2021-07-21T15:20:00Z,430.9
2021-07-21T15:25:00Z,430.149
2021-07-21T15:30:00Z,429.398
2021-07-21T15:35:00Z,428.647
2021-07-21T15:40:00Z,426.897
2021-07-21T15:45:00Z,425.399
2021-07-21T15:50:00Z,424.152
2021-07-21T15:55:00Z,422.408
2021-07-21T16:00:00Z,420.417
2021-07-21T16:05:00Z,418.429
2021-07-21T16:10:00Z,415.949
2021-07-21T16:15:00Z,413.969
2021-07-21T16:20:00Z,411.003
2021-07-21T16:25:00Z,408.044
2021-07-21T16:30:00Z,405.584
2021-07-21T16:35:00Z,402.392
2021-07-21T16:40:00Z,399.698
2021-07-21T16:45:00Z,397.741
2021-07-21T16:50:00Z,395.057
2021-07-21T16:55:00Z,393.108
2021-07-21T17:00:00Z,390.433
2021-07-21T17:05:00Z,388.249
2021-07-21T17:10:00Z,386.069
2021-07-21T17:15:00Z,384.134
2021-07-21T17:20:00Z,382.444
2021-07-21T17:25:00Z,381.238
2021-07-21T17:30:00Z,380.515
