Time,BAFU_2091_AbflussPneumatikunten
2021-07-18T18:25:00Z,2905.354
2021-07-18T18:30:00Z,2906.181
2021-07-18T18:35:00Z,2916.114
2021-07-18T18:40:00Z,2916.942
2021-07-18T18:45:00Z,2911.975
2021-07-18T18:50:00Z,2912.803
2021-07-18T18:55:00Z,2915.286
2021-07-18T19:00:00Z,2920.253
2021-07-18T19:05:00Z,2929.36
2021-07-18T19:10:00Z,2941.78
2021-07-18T19:15:00Z,2931.843
2021-07-18T19:20:00Z,2928.532
2021-07-18T19:25:00Z,2940.952
2021-07-18T19:30:00Z,2936.812
2021-07-18T19:35:00Z,2925.22
2021-07-18T19:40:00Z,2922.736
2021-07-18T19:45:00Z,2924.392
2021-07-18T19:50:00Z,2920.253
2021-07-18T19:55:00Z,2918.597
2021-07-18T20:00:00Z,2921.908
2021-07-18T20:05:00Z,2910.32
2021-07-18T20:10:00Z,2911.975
2021-07-18T20:15:00Z,2906.181
2021-07-18T20:20:00Z,2903.698
2021-07-18T20:25:00Z,2892.941
2021-07-18T20:30:00Z,2892.941
2021-07-18T20:35:00Z,2892.941
2021-07-18T20:40:00Z,2897.905
2021-07-18T20:45:00Z,2899.561
2021-07-18T20:50:00Z,2894.596
2021-07-18T20:55:00Z,2900.388
2021-07-18T21:00:00Z,2895.423
2021-07-18T21:05:00Z,2892.113
2021-07-18T21:10:00Z,2878.049
2021-07-18T21:15:00Z,2872.259
2021-07-18T21:20:00Z,2863.162
2021-07-18T21:25:00Z,2859.028
2021-07-18T21:30:00Z,2860.682
2021-07-18T21:35:00Z,2860.682
2021-07-18T21:40:00Z,2861.509
2021-07-18T21:45:00Z,2859.855
2021-07-18T21:50:00Z,2859.855
2021-07-18T21:55:00Z,2859.028
2021-07-18T22:00:00Z,2860.682
2021-07-18T22:05:00Z,2859.855
2021-07-18T22:10:00Z,2859.028
2021-07-18T22:15:00Z,2859.855
2021-07-18T22:20:00Z,2863.162
2021-07-18T22:25:00Z,2879.704
2021-07-18T22:30:00Z,2883.013
2021-07-18T22:35:00Z,2869.778
2021-07-18T22:40:00Z,2868.124
2021-07-18T22:45:00Z,2868.951
2021-07-18T22:50:00Z,2870.605
2021-07-18T22:55:00Z,2883.013
2021-07-18T23:00:00Z,2892.941
2021-07-18T23:05:00Z,2886.322
2021-07-18T23:10:00Z,2865.643
2021-07-18T23:15:00Z,2859.028
2021-07-18T23:20:00Z,2859.028
2021-07-18T23:25:00Z,2854.068
2021-07-18T23:30:00Z,2847.454
2021-07-18T23:35:00Z,2853.241
2021-07-18T23:40:00Z,2852.414
2021-07-18T23:45:00Z,2851.588
2021-07-18T23:50:00Z,2844.148
2021-07-18T23:55:00Z,2839.189
2021-07-19T00:00:00Z,2835.884
2021-07-19T00:05:00Z,2837.537
2021-07-19T00:10:00Z,2844.148
2021-07-19T00:15:00Z,2843.322
2021-07-19T00:20:00Z,2831.752
2021-07-19T00:25:00Z,2818.535
2021-07-19T00:30:00Z,2815.231
2021-07-19T00:35:00Z,2811.928
2021-07-19T00:40:00Z,2821.013
2021-07-19T00:45:00Z,2825.969
2021-07-19T00:50:00Z,2825.143
2021-07-19T00:55:00Z,2812.754
2021-07-19T01:00:00Z,2802.02
2021-07-19T01:05:00Z,2793.766
2021-07-19T01:10:00Z,2781.389
2021-07-19T01:15:00Z,2778.09
2021-07-19T01:20:00Z,2785.514
2021-07-19T01:25:00Z,2782.214
2021-07-19T01:30:00Z,2769.017
2021-07-19T01:35:00Z,2764.07
2021-07-19T01:40:00Z,2765.719
2021-07-19T01:45:00Z,2765.719
2021-07-19T01:50:00Z,2762.421
2021-07-19T01:55:00Z,2756.651
2021-07-19T02:00:00Z,2759.124
2021-07-19T02:05:00Z,2762.421
2021-07-19T02:10:00Z,2759.124
2021-07-19T02:15:00Z,2742.643
2021-07-19T02:20:00Z,2733.583
2021-07-19T02:25:00Z,2731.936
2021-07-19T02:30:00Z,2754.179
2021-07-19T02:35:00Z,2767.368
2021-07-19T02:40:00Z,2781.389
2021-07-19T02:45:00Z,2786.339
2021-07-19T02:50:00Z,2783.864
2021-07-19T02:55:00Z,2780.564
2021-07-19T03:00:00Z,2809.451
2021-07-19T03:05:00Z,2817.709
2021-07-19T03:10:00Z,2821.839
2021-07-19T03:15:00Z,2812.754
2021-07-19T03:20:00Z,2820.187
2021-07-19T03:25:00Z,2816.883
2021-07-19T03:30:00Z,2835.058
2021-07-19T03:35:00Z,2829.274
2021-07-19T03:40:00Z,2828.448
2021-07-19T03:45:00Z,2838.363
2021-07-19T03:50:00Z,2849.107
2021-07-19T03:55:00Z,2847.454
2021-07-19T04:00:00Z,2848.281
2021-07-19T04:05:00Z,2849.107
2021-07-19T04:10:00Z,2849.934
2021-07-19T04:15:00Z,2849.934
2021-07-19T04:20:00Z,2847.454
2021-07-19T04:25:00Z,2847.454
2021-07-19T04:30:00Z,2844.975
2021-07-19T04:35:00Z,2836.71
2021-07-19T04:40:00Z,2838.363
2021-07-19T04:45:00Z,2834.231
2021-07-19T04:50:00Z,2823.491
2021-07-19T04:55:00Z,2814.405
2021-07-19T05:00:00Z,2820.187
2021-07-19T05:05:00Z,2811.102
2021-07-19T05:10:00Z,2818.535
2021-07-19T05:15:00Z,2818.535
2021-07-19T05:20:00Z,2817.709
2021-07-19T05:25:00Z,2814.405
2021-07-19T05:30:00Z,2816.883
2021-07-19T05:35:00Z,2823.491
2021-07-19T05:40:00Z,2833.405
2021-07-19T05:45:00Z,2827.621
2021-07-19T05:50:00Z,2821.839
2021-07-19T05:55:00Z,2817.709
2021-07-19T06:00:00Z,2817.709
2021-07-19T06:05:00Z,2812.754
2021-07-19T06:10:00Z,2792.116
2021-07-19T06:15:00Z,2787.164
2021-07-19T06:20:00Z,2788.815
2021-07-19T06:25:00Z,2784.689
2021-07-19T06:30:00Z,2786.339
2021-07-19T06:35:00Z,2805.322
2021-07-19T06:40:00Z,2814.405
2021-07-19T06:45:00Z,2808.625
2021-07-19T06:50:00Z,2818.535
2021-07-19T06:55:00Z,2819.361
2021-07-19T07:00:00Z,2831.752
2021-07-19T07:05:00Z,2830.1
2021-07-19T07:10:00Z,2822.665
2021-07-19T07:15:00Z,2823.491
2021-07-19T07:20:00Z,2819.361
2021-07-19T07:25:00Z,2802.02
2021-07-19T07:30:00Z,2794.592
2021-07-19T07:35:00Z,2798.718
2021-07-19T07:40:00Z,2807.799
2021-07-19T07:45:00Z,2801.195
2021-07-19T07:50:00Z,2806.148
2021-07-19T07:55:00Z,2804.497
2021-07-19T08:00:00Z,2809.451
2021-07-19T08:05:00Z,2825.143
2021-07-19T08:10:00Z,2828.448
2021-07-19T08:15:00Z,2807.799
2021-07-19T08:20:00Z,2802.02
2021-07-19T08:25:00Z,2816.883
2021-07-19T08:30:00Z,2821.013
2021-07-19T08:35:00Z,2806.148
2021-07-19T08:40:00Z,2796.242
2021-07-19T08:45:00Z,2798.718
2021-07-19T08:50:00Z,2802.846
2021-07-19T08:55:00Z,2803.671
2021-07-19T09:00:00Z,2811.102
2021-07-19T09:05:00Z,2816.883
2021-07-19T09:10:00Z,2804.497
2021-07-19T09:15:00Z,2801.195
2021-07-19T09:20:00Z,2798.718
2021-07-19T09:25:00Z,2816.057
2021-07-19T09:30:00Z,2826.795
2021-07-19T09:35:00Z,2818.535
2021-07-19T09:40:00Z,2816.057
2021-07-19T09:45:00Z,2818.535
2021-07-19T09:50:00Z,2810.277
2021-07-19T09:55:00Z,2809.451
2021-07-19T10:00:00Z,2814.405
2021-07-19T10:05:00Z,2815.231
2021-07-19T10:10:00Z,2797.067
2021-07-19T10:15:00Z,2782.214
2021-07-19T10:20:00Z,2780.564
2021-07-19T10:25:00Z,2773.965
2021-07-19T10:30:00Z,2788.815
2021-07-19T10:35:00Z,2814.405
2021-07-19T10:40:00Z,2806.974
2021-07-19T10:45:00Z,2806.974
2021-07-19T10:50:00Z,2806.148
2021-07-19T10:55:00Z,2806.148
2021-07-19T11:00:00Z,2806.148
2021-07-19T11:05:00Z,2803.671
2021-07-19T11:10:00Z,2792.941
2021-07-19T11:15:00Z,2794.592
2021-07-19T11:20:00Z,2793.766
2021-07-19T11:25:00Z,2782.214
2021-07-19T11:30:00Z,2774.79
2021-07-19T11:35:00Z,2769.017
2021-07-19T11:40:00Z,2769.842
2021-07-19T11:45:00Z,2766.544
2021-07-19T11:50:00Z,2760.773
2021-07-19T11:55:00Z,2740.995
2021-07-19T12:00:00Z,2731.113
2021-07-19T12:05:00Z,2734.407
2021-07-19T12:10:00Z,2719.588
2021-07-19T12:15:00Z,2714.651
2021-07-19T12:20:00Z,2708.892
2021-07-19T12:25:00Z,2711.36
2021-07-19T12:30:00Z,2703.134
2021-07-19T12:35:00Z,2699.845
2021-07-19T12:40:00Z,2699.023
2021-07-19T12:45:00Z,2703.134
2021-07-19T12:50:00Z,2701.49
2021-07-19T12:55:00Z,2708.892
2021-07-19T13:00:00Z,2713.005
2021-07-19T13:05:00Z,2712.183
2021-07-19T13:10:00Z,2710.537
2021-07-19T13:15:00Z,2709.714
2021-07-19T13:20:00Z,2711.36
2021-07-19T13:25:00Z,2712.183
2021-07-19T13:30:00Z,2710.537
2021-07-19T13:35:00Z,2710.537
2021-07-19T13:40:00Z,2702.312
2021-07-19T13:45:00Z,2698.2
2021-07-19T13:50:00Z,2698.2
2021-07-19T13:55:00Z,2699.845
2021-07-19T14:00:00Z,2711.36
2021-07-19T14:05:00Z,2708.892
2021-07-19T14:10:00Z,2702.312
2021-07-19T14:15:00Z,2701.49
2021-07-19T14:20:00Z,2700.667
2021-07-19T14:25:00Z,2697.378
2021-07-19T14:30:00Z,2689.98
2021-07-19T14:35:00Z,2680.941
2021-07-19T14:40:00Z,2678.477
2021-07-19T14:45:00Z,2678.477
2021-07-19T14:50:00Z,2677.655
2021-07-19T14:55:00Z,2671.906
