Time,BAFU_2484_PegelPneumatik
2021-07-14T18:10:00Z,448.571
2021-07-14T18:20:00Z,448.57
2021-07-14T18:30:00Z,448.569
2021-07-14T18:40:00Z,448.568
2021-07-14T18:50:00Z,448.567
2021-07-14T19:00:00Z,448.567
2021-07-14T19:10:00Z,448.566
2021-07-14T19:20:00Z,448.565
2021-07-14T19:30:00Z,448.564
2021-07-14T19:40:00Z,448.563
2021-07-14T19:50:00Z,448.562
2021-07-14T20:00:00Z,448.561
2021-07-14T20:10:00Z,448.561
2021-07-14T20:20:00Z,448.559
2021-07-14T20:30:00Z,448.559
2021-07-14T20:40:00Z,448.558
2021-07-14T20:50:00Z,448.557
2021-07-14T21:00:00Z,448.557
2021-07-14T21:10:00Z,448.557
2021-07-14T21:20:00Z,448.556
2021-07-14T21:30:00Z,448.556
2021-07-14T21:40:00Z,448.556
2021-07-14T21:50:00Z,448.556
2021-07-14T22:00:00Z,448.556
2021-07-14T22:10:00Z,448.556
2021-07-14T22:20:00Z,448.556
2021-07-14T22:30:00Z,448.556
2021-07-14T22:40:00Z,448.557
2021-07-14T22:50:00Z,448.557
2021-07-14T23:00:00Z,448.558
2021-07-14T23:10:00Z,448.559
2021-07-14T23:20:00Z,448.559
2021-07-14T23:30:00Z,448.56
2021-07-14T23:40:00Z,448.561
2021-07-14T23:50:00Z,448.561
2021-07-15T00:00:00Z,448.562
2021-07-15T00:10:00Z,448.563
2021-07-15T00:20:00Z,448.565
2021-07-15T00:30:00Z,448.566
2021-07-15T00:40:00Z,448.567
2021-07-15T00:50:00Z,448.568
2021-07-15T01:00:00Z,448.569
2021-07-15T01:10:00Z,448.571
2021-07-15T01:20:00Z,448.572
2021-07-15T01:30:00Z,448.574
2021-07-15T01:40:00Z,448.576
2021-07-15T01:50:00Z,448.578
2021-07-15T02:00:00Z,448.58
2021-07-15T02:10:00Z,448.581
2021-07-15T02:20:00Z,448.583
2021-07-15T02:30:00Z,448.585
2021-07-15T02:40:00Z,448.587
2021-07-15T02:50:00Z,448.589
2021-07-15T03:00:00Z,448.59
2021-07-15T03:10:00Z,448.592
2021-07-15T03:20:00Z,448.593
2021-07-15T03:30:00Z,448.596
2021-07-15T03:40:00Z,448.597
2021-07-15T03:50:00Z,448.598
2021-07-15T04:00:00Z,448.6
2021-07-15T04:10:00Z,448.601
2021-07-15T04:20:00Z,448.603
2021-07-15T04:30:00Z,448.605
2021-07-15T04:40:00Z,448.606
2021-07-15T04:50:00Z,448.607
2021-07-15T05:00:00Z,448.609
2021-07-15T05:10:00Z,448.61
2021-07-15T05:20:00Z,448.612
2021-07-15T05:30:00Z,448.613
2021-07-15T05:40:00Z,448.614
2021-07-15T05:50:00Z,448.615
2021-07-15T06:00:00Z,448.617
2021-07-15T06:10:00Z,448.618
2021-07-15T06:20:00Z,448.619
2021-07-15T06:30:00Z,448.62
2021-07-15T06:40:00Z,448.621
2021-07-15T06:50:00Z,448.622
2021-07-15T07:00:00Z,448.623
2021-07-15T07:10:00Z,448.624
2021-07-15T07:20:00Z,448.625
2021-07-15T07:30:00Z,448.626
2021-07-15T07:40:00Z,448.626
2021-07-15T07:50:00Z,448.627
2021-07-15T08:00:00Z,448.627
2021-07-15T08:10:00Z,448.626
2021-07-15T08:20:00Z,448.627
2021-07-15T08:30:00Z,448.627
2021-07-15T08:40:00Z,448.627
2021-07-15T08:50:00Z,448.627
2021-07-15T09:00:00Z,448.628
2021-07-15T09:10:00Z,448.628
2021-07-15T09:20:00Z,448.628
2021-07-15T09:30:00Z,448.628
2021-07-15T09:40:00Z,448.628
2021-07-15T09:50:00Z,448.628
2021-07-15T10:00:00Z,448.628
2021-07-15T10:10:00Z,448.628
2021-07-15T10:20:00Z,448.628
2021-07-15T10:30:00Z,448.628
2021-07-15T10:40:00Z,448.628
2021-07-15T10:50:00Z,448.628
2021-07-15T11:00:00Z,448.627
2021-07-15T11:10:00Z,448.627
2021-07-15T11:20:00Z,448.627
2021-07-15T11:30:00Z,448.626
2021-07-15T11:40:00Z,448.626
2021-07-15T11:50:00Z,448.625
2021-07-15T12:00:00Z,448.625
2021-07-15T12:10:00Z,448.625
2021-07-15T12:20:00Z,448.624
2021-07-15T12:30:00Z,448.624
2021-07-15T12:40:00Z,448.624
2021-07-15T12:50:00Z,448.624
2021-07-15T13:00:00Z,448.624
2021-07-15T13:10:00Z,448.624
2021-07-15T13:20:00Z,448.624
2021-07-15T13:30:00Z,448.623
2021-07-15T13:40:00Z,448.623
2021-07-15T13:50:00Z,448.622
2021-07-15T14:00:00Z,448.622
2021-07-15T14:10:00Z,448.622
2021-07-15T14:20:00Z,448.621
2021-07-15T14:30:00Z,448.621
2021-07-15T14:40:00Z,448.621
2021-07-15T14:50:00Z,448.621
2021-07-15T15:00:00Z,448.621
2021-07-15T15:10:00Z,448.62
2021-07-15T15:20:00Z,448.621
2021-07-15T15:30:00Z,448.62
2021-07-15T15:40:00Z,448.62
2021-07-15T15:50:00Z,448.619
2021-07-15T16:00:00Z,448.619
2021-07-15T16:10:00Z,448.619
2021-07-15T16:20:00Z,448.618
2021-07-15T16:30:00Z,448.618
2021-07-15T16:40:00Z,448.617
2021-07-15T16:50:00Z,448.616
2021-07-15T17:00:00Z,448.616
2021-07-15T17:10:00Z,448.615
2021-07-15T17:20:00Z,448.615
2021-07-15T17:30:00Z,448.615
2021-07-15T17:40:00Z,448.615
2021-07-15T17:50:00Z,448.615
2021-07-15T18:00:00Z,448.615
2021-07-15T18:10:00Z,448.614
2021-07-15T18:20:00Z,448.614
2021-07-15T18:30:00Z,448.614
2021-07-15T18:40:00Z,448.613
2021-07-15T18:50:00Z,448.613
2021-07-15T19:00:00Z,448.612
2021-07-15T19:10:00Z,448.612
2021-07-15T19:20:00Z,448.612
2021-07-15T19:30:00Z,448.611
2021-07-15T19:40:00Z,448.611
2021-07-15T19:50:00Z,448.61
2021-07-15T20:00:00Z,448.61
2021-07-15T20:10:00Z,448.609
2021-07-15T20:20:00Z,448.609
2021-07-15T20:30:00Z,448.608
2021-07-15T20:40:00Z,448.609
2021-07-15T20:50:00Z,448.61
2021-07-15T21:00:00Z,448.61
2021-07-15T21:10:00Z,448.61
2021-07-15T21:20:00Z,448.61
2021-07-15T21:30:00Z,448.611
2021-07-15T21:40:00Z,448.612
2021-07-15T21:50:00Z,448.614
2021-07-15T22:00:00Z,448.615
2021-07-15T22:10:00Z,448.616
2021-07-15T22:20:00Z,448.618
2021-07-15T22:30:00Z,448.62
2021-07-15T22:40:00Z,448.623
2021-07-15T22:50:00Z,448.628
2021-07-15T23:00:00Z,448.637
2021-07-15T23:10:00Z,448.648
2021-07-15T23:20:00Z,448.661
2021-07-15T23:30:00Z,448.677
2021-07-15T23:40:00Z,448.694
2021-07-15T23:50:00Z,448.711
2021-07-16T00:00:00Z,448.728
2021-07-16T00:10:00Z,448.744
2021-07-16T00:20:00Z,448.759
2021-07-16T00:30:00Z,448.774
2021-07-16T00:40:00Z,448.787
2021-07-16T00:50:00Z,448.799
2021-07-16T01:00:00Z,448.81
2021-07-16T01:10:00Z,448.819
2021-07-16T01:20:00Z,448.828
2021-07-16T01:30:00Z,448.836
2021-07-16T01:40:00Z,448.844
2021-07-16T01:50:00Z,448.85
2021-07-16T02:00:00Z,448.856
2021-07-16T02:10:00Z,448.862
2021-07-16T02:20:00Z,448.867
2021-07-16T02:30:00Z,448.872
2021-07-16T02:40:00Z,448.876
2021-07-16T02:50:00Z,448.88
2021-07-16T03:00:00Z,448.884
2021-07-16T03:10:00Z,448.888
