Time,BAFU_2110_AbflussPneumatik
2021-07-13T00:15:00Z,373.084
2021-07-13T00:20:00Z,372.885
2021-07-13T00:25:00Z,373.283
2021-07-13T00:30:00Z,373.483
2021-07-13T00:35:00Z,373.682
2021-07-13T00:40:00Z,373.682
2021-07-13T00:45:00Z,373.881
2021-07-13T00:50:00Z,373.881
2021-07-13T00:55:00Z,373.881
2021-07-13T01:00:00Z,373.682
2021-07-13T01:05:00Z,373.483
2021-07-13T01:10:00Z,373.483
2021-07-13T01:15:00Z,373.283
2021-07-13T01:20:00Z,373.084
2021-07-13T01:25:00Z,373.084
2021-07-13T01:30:00Z,372.885
2021-07-13T01:35:00Z,372.885
2021-07-13T01:40:00Z,372.686
2021-07-13T01:45:00Z,372.686
2021-07-13T01:50:00Z,372.686
2021-07-13T01:55:00Z,372.487
2021-07-13T02:00:00Z,372.686
2021-07-13T02:05:00Z,372.686
2021-07-13T02:10:00Z,373.283
2021-07-13T02:15:00Z,373.084
2021-07-13T02:20:00Z,373.283
2021-07-13T02:25:00Z,373.283
2021-07-13T02:30:00Z,373.483
2021-07-13T02:35:00Z,373.283
2021-07-13T02:40:00Z,373.682
2021-07-13T02:45:00Z,373.881
2021-07-13T02:50:00Z,373.881
2021-07-13T02:55:00Z,374.28
2021-07-13T03:00:00Z,374.48
2021-07-13T03:05:00Z,374.48
2021-07-13T03:10:00Z,374.879
2021-07-13T03:15:00Z,375.278
2021-07-13T03:20:00Z,375.876
2021-07-13T03:25:00Z,376.276
2021-07-13T03:30:00Z,376.875
2021-07-13T03:35:00Z,377.275
2021-07-13T03:40:00Z,378.275
2021-07-13T03:45:00Z,379.275
2021-07-13T03:50:00Z,379.675
2021-07-13T03:55:00Z,380.877
2021-07-13T04:00:00Z,381.679
2021-07-13T04:05:00Z,382.481
2021-07-13T04:10:00Z,383.284
2021-07-13T04:15:00Z,384.488
2021-07-13T04:20:00Z,385.694
2021-07-13T04:25:00Z,386.7
2021-07-13T04:30:00Z,387.504
2021-07-13T04:35:00Z,388.713
2021-07-13T04:40:00Z,389.922
2021-07-13T04:45:00Z,390.729
2021-07-13T04:50:00Z,392.142
2021-07-13T04:55:00Z,392.95
2021-07-13T05:00:00Z,394.567
2021-07-13T05:05:00Z,395.78
2021-07-13T05:10:00Z,396.59
2021-07-13T05:15:00Z,397.806
2021-07-13T05:20:00Z,399.225
2021-07-13T05:25:00Z,400.24
2021-07-13T05:30:00Z,401.458
2021-07-13T05:35:00Z,402.271
2021-07-13T05:40:00Z,403.287
2021-07-13T05:45:00Z,404.305
2021-07-13T05:50:00Z,405.119
2021-07-13T05:55:00Z,406.137
2021-07-13T06:00:00Z,406.545
2021-07-13T06:05:00Z,407.156
2021-07-13T06:10:00Z,407.768
2021-07-13T06:15:00Z,408.38
2021-07-13T06:20:00Z,408.992
2021-07-13T06:25:00Z,409.604
2021-07-13T06:30:00Z,410.421
2021-07-13T06:35:00Z,411.034
2021-07-13T06:40:00Z,412.056
2021-07-13T06:45:00Z,413.488
2021-07-13T06:50:00Z,414.716
2021-07-13T06:55:00Z,416.355
2021-07-13T07:00:00Z,418.406
2021-07-13T07:05:00Z,420.871
2021-07-13T07:10:00Z,423.133
2021-07-13T07:15:00Z,425.604
2021-07-13T07:20:00Z,428.491
2021-07-13T07:25:00Z,431.176
2021-07-13T07:30:00Z,434.279
2021-07-13T07:35:00Z,437.387
2021-07-13T07:40:00Z,440.5
2021-07-13T07:45:00Z,444.45
2021-07-13T07:50:00Z,447.157
2021-07-13T07:55:00Z,450.703
2021-07-13T08:00:00Z,454.463
2021-07-13T08:05:00Z,458.231
2021-07-13T08:10:00Z,461.795
2021-07-13T08:15:00Z,465.155
2021-07-13T08:20:00Z,468.94
2021-07-13T08:25:00Z,472.521
2021-07-13T08:30:00Z,476.319
2021-07-13T08:35:00Z,479.488
2021-07-13T08:40:00Z,483.296
2021-07-13T08:45:00Z,486.898
2021-07-13T08:50:00Z,490.506
