Time,BAFU_2088_PegelRadar
2021-07-18T17:40:00Z,470.779
2021-07-18T17:50:00Z,470.778
2021-07-18T18:00:00Z,470.779
2021-07-18T18:10:00Z,470.779
2021-07-18T18:20:00Z,470.779
2021-07-18T18:30:00Z,470.778
2021-07-18T18:40:00Z,470.777
2021-07-18T18:50:00Z,470.776
2021-07-18T19:00:00Z,470.775
2021-07-18T19:10:00Z,470.775
2021-07-18T19:20:00Z,470.774
2021-07-18T19:30:00Z,470.774
2021-07-18T19:40:00Z,470.773
2021-07-18T19:50:00Z,470.773
2021-07-18T20:00:00Z,470.772
2021-07-18T20:10:00Z,470.772
2021-07-18T20:20:00Z,470.772
2021-07-18T20:30:00Z,470.772
2021-07-18T20:40:00Z,470.771
2021-07-18T20:50:00Z,470.77
2021-07-18T21:00:00Z,470.77
2021-07-18T21:10:00Z,470.769
2021-07-18T21:20:00Z,470.768
2021-07-18T21:30:00Z,470.768
2021-07-18T21:40:00Z,470.767
2021-07-18T21:50:00Z,470.767
2021-07-18T22:00:00Z,470.766
2021-07-18T22:10:00Z,470.766
2021-07-18T22:20:00Z,470.765
2021-07-18T22:30:00Z,470.763
2021-07-18T22:40:00Z,470.762
2021-07-18T22:50:00Z,470.76
2021-07-18T23:00:00Z,470.759
2021-07-18T23:10:00Z,470.758
2021-07-18T23:20:00Z,470.756
2021-07-18T23:30:00Z,470.754
2021-07-18T23:40:00Z,470.753
2021-07-18T23:50:00Z,470.751
2021-07-19T00:00:00Z,470.75
2021-07-19T00:10:00Z,470.748
2021-07-19T00:20:00Z,470.747
2021-07-19T00:30:00Z,470.745
2021-07-19T00:40:00Z,470.744
2021-07-19T00:50:00Z,470.743
2021-07-19T01:00:00Z,470.741
2021-07-19T01:10:00Z,470.739
2021-07-19T01:20:00Z,470.737
2021-07-19T01:30:00Z,470.737
2021-07-19T01:40:00Z,470.735
2021-07-19T01:50:00Z,470.733
2021-07-19T02:00:00Z,470.731
2021-07-19T02:10:00Z,470.729
2021-07-19T02:20:00Z,470.728
2021-07-19T02:30:00Z,470.727
2021-07-19T02:40:00Z,470.726
2021-07-19T02:50:00Z,470.724
2021-07-19T03:00:00Z,470.723
2021-07-19T03:10:00Z,470.721
2021-07-19T03:20:00Z,470.72
2021-07-19T03:30:00Z,470.719
2021-07-19T03:40:00Z,470.717
2021-07-19T03:50:00Z,470.717
2021-07-19T04:00:00Z,470.715
2021-07-19T04:10:00Z,470.714
2021-07-19T04:20:00Z,470.713
2021-07-19T04:30:00Z,470.711
2021-07-19T04:40:00Z,470.71
2021-07-19T04:50:00Z,470.708
2021-07-19T05:00:00Z,470.706
2021-07-19T05:10:00Z,470.706
2021-07-19T05:20:00Z,470.705
2021-07-19T05:30:00Z,470.704
2021-07-19T05:40:00Z,470.703
2021-07-19T05:50:00Z,470.702
2021-07-19T06:00:00Z,470.701
2021-07-19T06:10:00Z,470.701
2021-07-19T06:20:00Z,470.698
2021-07-19T06:30:00Z,470.698
2021-07-19T06:40:00Z,470.697
2021-07-19T06:50:00Z,470.698
2021-07-19T07:00:00Z,470.697
2021-07-19T07:10:00Z,470.697
2021-07-19T07:20:00Z,470.697
2021-07-19T07:30:00Z,470.697
2021-07-19T07:40:00Z,470.696
2021-07-19T07:50:00Z,470.695
2021-07-19T08:00:00Z,470.695
2021-07-19T08:10:00Z,470.694
2021-07-19T08:20:00Z,470.694
2021-07-19T08:30:00Z,470.694
2021-07-19T08:40:00Z,470.691
2021-07-19T08:50:00Z,470.692
2021-07-19T09:00:00Z,470.69
2021-07-19T09:10:00Z,470.689
2021-07-19T09:20:00Z,470.69
2021-07-19T09:30:00Z,470.688
2021-07-19T09:40:00Z,470.69
2021-07-19T09:50:00Z,470.687
2021-07-19T10:00:00Z,470.685
2021-07-19T10:10:00Z,470.684
2021-07-19T10:20:00Z,470.682
2021-07-19T10:30:00Z,470.681
2021-07-19T10:40:00Z,470.681
2021-07-19T10:50:00Z,470.679
2021-07-19T11:00:00Z,470.677
2021-07-19T11:10:00Z,470.675
2021-07-19T11:20:00Z,470.675
2021-07-19T11:30:00Z,470.674
2021-07-19T11:40:00Z,470.673
2021-07-19T11:50:00Z,470.672
2021-07-19T12:00:00Z,470.675
2021-07-19T12:10:00Z,470.675
2021-07-19T12:20:00Z,470.672
2021-07-19T12:30:00Z,470.669
2021-07-19T12:40:00Z,470.668
2021-07-19T12:50:00Z,470.666
2021-07-19T13:00:00Z,470.665
2021-07-19T13:10:00Z,470.663
2021-07-19T13:20:00Z,470.661
2021-07-19T13:30:00Z,470.66
2021-07-19T13:40:00Z,470.658
2021-07-19T13:50:00Z,470.657
2021-07-19T14:00:00Z,470.655
2021-07-19T14:10:00Z,470.654
2021-07-19T14:20:00Z,470.652
2021-07-19T14:30:00Z,470.65
2021-07-19T14:40:00Z,470.648
2021-07-19T14:50:00Z,470.647
2021-07-19T15:00:00Z,470.645
2021-07-19T15:10:00Z,470.643
2021-07-19T15:20:00Z,470.642
2021-07-19T15:30:00Z,470.64
2021-07-19T15:40:00Z,470.639
2021-07-19T15:50:00Z,470.637
2021-07-19T16:00:00Z,470.636
2021-07-19T16:10:00Z,470.634
2021-07-19T16:20:00Z,470.633
2021-07-19T16:30:00Z,470.632
2021-07-19T16:40:00Z,470.631
2021-07-19T16:50:00Z,470.63
2021-07-19T17:00:00Z,470.628
2021-07-19T17:10:00Z,470.629
2021-07-19T17:20:00Z,470.628
2021-07-19T17:30:00Z,470.628
2021-07-19T17:40:00Z,470.627
2021-07-19T17:50:00Z,470.627
2021-07-19T18:00:00Z,470.627
2021-07-19T18:10:00Z,470.627
2021-07-19T18:20:00Z,470.626
2021-07-19T18:30:00Z,470.626
2021-07-19T18:40:00Z,470.625
2021-07-19T18:50:00Z,470.624
2021-07-19T19:00:00Z,470.623
2021-07-19T19:10:00Z,470.622
2021-07-19T19:20:00Z,470.622
2021-07-19T19:30:00Z,470.622
2021-07-19T19:40:00Z,470.622
2021-07-19T19:50:00Z,470.621
2021-07-19T20:00:00Z,470.62
2021-07-19T20:10:00Z,470.62
2021-07-19T20:20:00Z,470.62
