Time,BAFU_2243_AbflussRadarBruecke
2021-07-27T07:15:00Z,260.562
2021-07-27T07:20:00Z,261.452
2021-07-27T07:25:00Z,262.343
2021-07-27T07:30:00Z,260.784
2021-07-27T07:35:00Z,258.342
2021-07-27T07:40:00Z,260.784
2021-07-27T07:45:00Z,260.562
2021-07-27T07:50:00Z,259.23
2021-07-27T07:55:00Z,260.562
2021-07-27T08:00:00Z,259.23
2021-07-27T08:05:00Z,259.008
2021-07-27T08:10:00Z,259.452
2021-07-27T08:15:00Z,259.008
2021-07-27T08:20:00Z,260.117
2021-07-27T08:25:00Z,260.339
2021-07-27T08:30:00Z,260.117
2021-07-27T08:35:00Z,259.23
2021-07-27T08:40:00Z,259.674
2021-07-27T08:45:00Z,258.342
2021-07-27T08:50:00Z,258.786
2021-07-27T08:55:00Z,258.342
2021-07-27T09:00:00Z,257.899
2021-07-27T09:05:00Z,258.786
2021-07-27T09:10:00Z,258.342
2021-07-27T09:15:00Z,259.452
2021-07-27T09:20:00Z,257.899
2021-07-27T09:25:00Z,259.008
2021-07-27T09:30:00Z,258.564
2021-07-27T09:35:00Z,257.236
2021-07-27T09:40:00Z,258.342
2021-07-27T09:45:00Z,257.899
2021-07-27T09:50:00Z,258.121
2021-07-27T09:55:00Z,258.342
2021-07-27T10:00:00Z,257.236
2021-07-27T10:05:00Z,259.895
2021-07-27T10:10:00Z,257.678
2021-07-27T10:15:00Z,259.008
2021-07-27T10:20:00Z,255.469
2021-07-27T10:25:00Z,252.169
2021-07-27T10:30:00Z,251.291
2021-07-27T10:35:00Z,251.291
2021-07-27T10:40:00Z,251.51
2021-07-27T10:45:00Z,253.267
2021-07-27T10:50:00Z,253.047
2021-07-27T10:55:00Z,251.73
2021-07-27T11:00:00Z,254.147
2021-07-27T11:05:00Z,253.486
2021-07-27T11:10:00Z,254.587
2021-07-27T11:15:00Z,253.706
2021-07-27T11:20:00Z,253.706
2021-07-27T11:25:00Z,253.486
2021-07-27T11:30:00Z,251.072
2021-07-27T11:35:00Z,257.015
2021-07-27T11:40:00Z,256.131
2021-07-27T11:45:00Z,257.236
2021-07-27T11:50:00Z,255.469
2021-07-27T11:55:00Z,255.028
2021-07-27T12:00:00Z,256.352
2021-07-27T12:05:00Z,258.564
2021-07-27T12:10:00Z,259.23
2021-07-27T12:15:00Z,257.678
2021-07-27T12:20:00Z,258.786
2021-07-27T12:25:00Z,257.678
2021-07-27T12:30:00Z,257.899
2021-07-27T12:35:00Z,257.015
2021-07-27T12:40:00Z,258.564
2021-07-27T12:45:00Z,257.678
2021-07-27T12:50:00Z,258.564
2021-07-27T12:55:00Z,256.352
2021-07-27T13:00:00Z,256.131
2021-07-27T13:05:00Z,256.794
2021-07-27T13:10:00Z,257.236
2021-07-27T13:15:00Z,259.008
2021-07-27T13:20:00Z,258.786
2021-07-27T13:25:00Z,257.236
2021-07-27T13:30:00Z,256.573
2021-07-27T13:35:00Z,256.573
2021-07-27T13:40:00Z,257.015
2021-07-27T13:45:00Z,257.236
2021-07-27T13:50:00Z,256.352
2021-07-27T13:55:00Z,256.352
2021-07-27T14:00:00Z,255.469
2021-07-27T14:05:00Z,257.015
2021-07-27T14:10:00Z,255.689
2021-07-27T14:15:00Z,256.131
2021-07-27T14:20:00Z,256.573
2021-07-27T14:25:00Z,256.573
2021-07-27T14:30:00Z,256.131
2021-07-27T14:35:00Z,256.352
2021-07-27T14:40:00Z,255.91
2021-07-27T14:45:00Z,256.352
2021-07-27T14:50:00Z,253.047
2021-07-27T14:55:00Z,256.352
2021-07-27T15:00:00Z,256.794
2021-07-27T15:05:00Z,256.794
2021-07-27T15:10:00Z,255.028
2021-07-27T15:15:00Z,256.573
2021-07-27T15:20:00Z,255.248
2021-07-27T15:25:00Z,255.469
2021-07-27T15:30:00Z,253.926
2021-07-27T15:35:00Z,255.469
2021-07-27T15:40:00Z,253.706
2021-07-27T15:45:00Z,253.706
2021-07-27T15:50:00Z,254.808
2021-07-27T15:55:00Z,254.147
2021-07-27T16:00:00Z,254.587
2021-07-27T16:05:00Z,254.587
2021-07-27T16:10:00Z,255.248
2021-07-27T16:15:00Z,253.926
2021-07-27T16:20:00Z,254.808
2021-07-27T16:25:00Z,252.388
2021-07-27T16:30:00Z,253.267
2021-07-27T16:35:00Z,251.949
2021-07-27T16:40:00Z,250.854
2021-07-27T16:45:00Z,252.828
2021-07-27T16:50:00Z,253.706
2021-07-27T16:55:00Z,255.028
2021-07-27T17:00:00Z,249.978
2021-07-27T17:05:00Z,251.51
2021-07-27T17:10:00Z,251.072
2021-07-27T17:15:00Z,253.267
2021-07-27T17:20:00Z,252.169
2021-07-27T17:25:00Z,252.828
2021-07-27T17:30:00Z,252.169
2021-07-27T17:35:00Z,251.072
2021-07-27T17:40:00Z,250.416
2021-07-27T17:45:00Z,250.416
2021-07-27T17:50:00Z,250.197
2021-07-27T17:55:00Z,251.949
2021-07-27T18:00:00Z,252.388
2021-07-27T18:05:00Z,252.828
2021-07-27T18:10:00Z,250.854
2021-07-27T18:15:00Z,251.291
2021-07-27T18:20:00Z,250.635
2021-07-27T18:25:00Z,253.047
2021-07-27T18:30:00Z,251.291
2021-07-27T18:35:00Z,250.416
2021-07-27T18:40:00Z,250.197
2021-07-27T18:45:00Z,251.51
2021-07-27T18:50:00Z,251.51
2021-07-27T18:55:00Z,249.322
2021-07-27T19:00:00Z,251.949
2021-07-27T19:05:00Z,251.73
2021-07-27T19:10:00Z,250.416
2021-07-27T19:15:00Z,251.949
2021-07-27T19:20:00Z,250.854
2021-07-27T19:25:00Z,250.416
2021-07-27T19:30:00Z,251.072
2021-07-27T19:35:00Z,250.854
2021-07-27T19:40:00Z,249.76
2021-07-27T19:45:00Z,250.197
2021-07-27T19:50:00Z,250.854
2021-07-27T19:55:00Z,252.169
2021-07-27T20:00:00Z,251.73
2021-07-27T20:05:00Z,251.51
2021-07-27T20:10:00Z,250.197
2021-07-27T20:15:00Z,251.949
2021-07-27T20:20:00Z,249.978
2021-07-27T20:25:00Z,250.197
2021-07-27T20:30:00Z,252.388
2021-07-27T20:35:00Z,251.73
2021-07-27T20:40:00Z,251.51
2021-07-27T20:45:00Z,251.73
2021-07-27T20:50:00Z,251.072
2021-07-27T20:55:00Z,250.854
2021-07-27T21:00:00Z,250.416
2021-07-27T21:05:00Z,250.635
2021-07-27T21:10:00Z,251.291
2021-07-27T21:15:00Z,250.635
2021-07-27T21:20:00Z,252.828
2021-07-27T21:25:00Z,250.416
2021-07-27T21:30:00Z,250.416
2021-07-27T21:35:00Z,250.854
2021-07-27T21:40:00Z,250.416
2021-07-27T21:45:00Z,250.197
2021-07-27T21:50:00Z,250.416
2021-07-27T21:55:00Z,249.322
2021-07-27T22:00:00Z,248.886
2021-07-27T22:05:00Z,248.668
2021-07-27T22:10:00Z,249.322
2021-07-27T22:15:00Z,249.104
2021-07-27T22:20:00Z,250.416
2021-07-27T22:25:00Z,250.635
