Time,BAFU_2016_AbflussPneumatikoben
2021-07-14T22:05:00Z,851.268
2021-07-14T22:10:00Z,854.325
2021-07-14T22:15:00Z,857.605
2021-07-14T22:20:00Z,856.73
2021-07-14T22:25:00Z,858.261
2021-07-14T22:30:00Z,858.918
2021-07-14T22:35:00Z,859.794
2021-07-14T22:40:00Z,860.67
2021-07-14T22:45:00Z,862.203
2021-07-14T22:50:00Z,861.765
2021-07-14T22:55:00Z,862.861
2021-07-14T23:00:00Z,863.738
2021-07-14T23:05:00Z,865.055
2021-07-14T23:10:00Z,868.128
2021-07-14T23:15:00Z,870.107
2021-07-14T23:20:00Z,871.206
2021-07-14T23:25:00Z,872.967
2021-07-14T23:30:00Z,874.067
2021-07-14T23:35:00Z,875.83
2021-07-14T23:40:00Z,875.609
2021-07-14T23:45:00Z,876.932
2021-07-14T23:50:00Z,877.814
2021-07-14T23:55:00Z,878.034
2021-07-15T00:00:00Z,878.696
2021-07-15T00:05:00Z,878.917
2021-07-15T00:10:00Z,880.682
2021-07-15T00:15:00Z,881.124
2021-07-15T00:20:00Z,881.124
2021-07-15T00:25:00Z,882.007
2021-07-15T00:30:00Z,882.228
2021-07-15T00:35:00Z,882.007
2021-07-15T00:40:00Z,882.228
2021-07-15T00:45:00Z,883.112
2021-07-15T00:50:00Z,883.775
2021-07-15T00:55:00Z,884.438
2021-07-15T01:00:00Z,885.323
2021-07-15T01:05:00Z,885.986
2021-07-15T01:10:00Z,887.757
2021-07-15T01:15:00Z,888.421
2021-07-15T01:20:00Z,889.75
2021-07-15T01:25:00Z,891.745
2021-07-15T01:30:00Z,893.519
2021-07-15T01:35:00Z,895.517
2021-07-15T01:40:00Z,896.849
2021-07-15T01:45:00Z,898.404
2021-07-15T01:50:00Z,901.073
2021-07-15T01:55:00Z,901.74
2021-07-15T02:00:00Z,903.744
2021-07-15T02:05:00Z,905.971
2021-07-15T02:10:00Z,907.978
2021-07-15T02:15:00Z,910.433
2021-07-15T02:20:00Z,912.889
2021-07-15T02:25:00Z,914.677
2021-07-15T02:30:00Z,916.69
2021-07-15T02:35:00Z,918.033
2021-07-15T02:40:00Z,920.048
2021-07-15T02:45:00Z,922.065
2021-07-15T02:50:00Z,923.634
2021-07-15T02:55:00Z,925.878
2021-07-15T03:00:00Z,928.123
2021-07-15T03:05:00Z,930.595
2021-07-15T03:10:00Z,932.844
2021-07-15T03:15:00Z,934.869
2021-07-15T03:20:00Z,937.572
2021-07-15T03:25:00Z,940.954
2021-07-15T03:30:00Z,943.663
