Time,BAFU_2481_AbflussRadar
2021-07-28T12:25:00Z,40.069
2021-07-28T12:30:00Z,39.803
2021-07-28T12:35:00Z,40.514
2021-07-28T12:40:00Z,40.069
2021-07-28T12:45:00Z,41.496
2021-07-28T12:50:00Z,41.406
2021-07-28T12:55:00Z,41.496
2021-07-28T13:00:00Z,41.138
2021-07-28T13:05:00Z,40.425
2021-07-28T13:10:00Z,39.095
2021-07-28T13:15:00Z,39.715
2021-07-28T13:20:00Z,40.069
2021-07-28T13:25:00Z,39.183
2021-07-28T13:30:00Z,39.449
2021-07-28T13:35:00Z,39.98
2021-07-28T13:40:00Z,40.069
2021-07-28T13:45:00Z,39.98
2021-07-28T13:50:00Z,39.449
2021-07-28T13:55:00Z,39.36
2021-07-28T14:00:00Z,39.537
2021-07-28T14:05:00Z,39.36
2021-07-28T14:10:00Z,38.127
2021-07-28T14:15:00Z,37.952
2021-07-28T14:20:00Z,38.743
2021-07-28T14:25:00Z,38.655
2021-07-28T14:30:00Z,38.831
2021-07-28T14:35:00Z,39.715
2021-07-28T14:40:00Z,39.449
2021-07-28T14:45:00Z,39.183
2021-07-28T14:50:00Z,39.007
2021-07-28T14:55:00Z,39.449
2021-07-28T15:00:00Z,39.626
2021-07-28T15:05:00Z,39.183
2021-07-28T15:10:00Z,39.095
2021-07-28T15:15:00Z,39.007
2021-07-28T15:20:00Z,39.272
2021-07-28T15:25:00Z,39.272
2021-07-28T15:30:00Z,39.36
2021-07-28T15:35:00Z,39.449
2021-07-28T15:40:00Z,39.183
2021-07-28T15:45:00Z,38.655
2021-07-28T15:50:00Z,38.831
2021-07-28T15:55:00Z,39.537
2021-07-28T16:00:00Z,39.183
2021-07-28T16:05:00Z,39.272
2021-07-28T16:10:00Z,39.183
2021-07-28T16:15:00Z,39.183
2021-07-28T16:20:00Z,38.919
2021-07-28T16:25:00Z,38.743
2021-07-28T16:30:00Z,38.478
2021-07-28T16:35:00Z,38.831
2021-07-28T16:40:00Z,38.743
2021-07-28T16:45:00Z,37.776
2021-07-28T16:50:00Z,38.39
2021-07-28T16:55:00Z,38.655
2021-07-28T17:00:00Z,39.183
2021-07-28T17:05:00Z,39.449
2021-07-28T17:10:00Z,39.095
2021-07-28T17:15:00Z,38.831
2021-07-28T17:20:00Z,38.215
2021-07-28T17:25:00Z,38.39
2021-07-28T17:30:00Z,38.919
2021-07-28T17:35:00Z,38.478
2021-07-28T17:40:00Z,38.566
2021-07-28T17:45:00Z,38.919
2021-07-28T17:50:00Z,39.007
2021-07-28T17:55:00Z,39.007
2021-07-28T18:00:00Z,39.36
2021-07-28T18:05:00Z,39.272
2021-07-28T18:10:00Z,39.272
2021-07-28T18:15:00Z,39.715
2021-07-28T18:20:00Z,39.626
2021-07-28T18:25:00Z,39.183
2021-07-28T18:30:00Z,39.626
2021-07-28T18:35:00Z,39.715
2021-07-28T18:40:00Z,39.892
2021-07-28T18:45:00Z,39.626
2021-07-28T18:50:00Z,38.919
2021-07-28T18:55:00Z,38.478
2021-07-28T19:00:00Z,38.478
2021-07-28T19:05:00Z,38.127
2021-07-28T19:10:00Z,38.566
2021-07-28T19:15:00Z,38.655
2021-07-28T19:20:00Z,38.215
2021-07-28T19:25:00Z,38.743
2021-07-28T19:30:00Z,38.215
2021-07-28T19:35:00Z,38.39
2021-07-28T19:40:00Z,38.39
2021-07-28T19:45:00Z,38.566
2021-07-28T19:50:00Z,38.303
2021-07-28T19:55:00Z,38.566
2021-07-28T20:00:00Z,38.566
2021-07-28T20:05:00Z,38.127
2021-07-28T20:10:00Z,37.864
2021-07-28T20:15:00Z,37.952
2021-07-28T20:20:00Z,37.952
2021-07-28T20:25:00Z,37.689
2021-07-28T20:30:00Z,38.303
2021-07-28T20:35:00Z,38.655
2021-07-28T20:40:00Z,38.478
2021-07-28T20:45:00Z,38.831
2021-07-28T20:50:00Z,39.626
2021-07-28T20:55:00Z,39.007
2021-07-28T21:00:00Z,39.095
2021-07-28T21:05:00Z,39.007
2021-07-28T21:10:00Z,39.095
2021-07-28T21:15:00Z,39.272
